Genotype	TimePoint	N	RER	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 22	4	0.781	0.027	0.014	0.043	LIGHT	0.17429437	.
WT	 23	4	0.804	0.048	0.024	0.076	LIGHT	0.51076281	.
WT	 24	4	0.806	0.075	0.037	0.119	LIGHT	0.59841739	.
WT	 25	4	0.822	0.051	0.025	0.080	LIGHT	0.79374490	.
WT	 26	4	0.825	0.042	0.021	0.066	LIGHT	0.75159443	.
WT	 27	4	0.807	0.081	0.041	0.129	LIGHT	0.96221264	.
WT	 28	4	0.832	0.067	0.033	0.106	LIGHT	0.95937423	.
WT	 29	4	0.823	0.063	0.031	0.100	LIGHT	0.84296858	.
WT	 30	4	0.808	0.040	0.020	0.064	LIGHT	0.28639816	.
WT	 31	4	0.849	0.085	0.043	0.136	LIGHT	0.85363426	.
WT	 32	4	0.888	0.040	0.020	0.063	DARK	0.55414535	.
WT	 33	4	0.911	0.058	0.029	0.092	DARK	0.45384011	.
WT	 34	4	0.944	0.039	0.020	0.062	DARK	0.67492965	.
WT	 35	4	0.958	0.036	0.018	0.057	DARK	0.36646722	.
WT	 36	4	0.950	0.027	0.013	0.043	DARK	0.31449152	.
WT	 37	4	0.939	0.065	0.033	0.104	DARK	0.32522580	.
WT	 38	4	0.936	0.046	0.023	0.073	DARK	0.24080543	.
WT	 39	4	0.949	0.052	0.026	0.083	DARK	0.36151860	.
WT	 40	4	0.920	0.059	0.029	0.093	DARK	0.74596914	.
WT	 41	4	0.925	0.035	0.018	0.056	DARK	0.77691545	.
WT	 42	4	0.931	0.059	0.029	0.093	DARK	0.78036767	.
WT	 43	4	0.945	0.072	0.036	0.115	DARK	0.51848376	.
WT	 44	4	0.968	0.048	0.024	0.077	DARK	0.41628606	.
WT	 45	4	0.945	0.060	0.030	0.095	DARK	0.59883824	.
WT	 46	4	0.907	0.038	0.019	0.061	DARK	0.80313836	.
WT	 47	4	0.920	0.053	0.027	0.085	DARK	0.97753558	.
WT	 48	4	0.911	0.050	0.025	0.080	DARK	0.92545946	.
WT	 49	4	0.876	0.088	0.044	0.141	DARK	0.63602653	.
WT	 50	4	0.923	0.047	0.024	0.075	LIGHT	0.78247990	.
WT	 51	4	0.929	0.067	0.034	0.107	LIGHT	0.95885307	.
WT	 52	4	0.918	0.042	0.021	0.066	LIGHT	0.80039103	.
WT	 53	4	0.888	0.072	0.036	0.115	LIGHT	0.81884227	.
WT	 54	4	0.900	0.070	0.035	0.111	LIGHT	0.61017330	.
WT	 55	4	0.863	0.091	0.045	0.144	LIGHT	0.65648125	.
WT	 56	4	0.839	0.077	0.039	0.123	LIGHT	0.30598904	.
WT	 57	4	0.847	0.066	0.033	0.105	LIGHT	0.27229577	.
WT	 58	4	0.833	0.040	0.020	0.064	LIGHT	0.46220393	.
WT	 59	4	0.844	0.062	0.031	0.099	LIGHT	0.78839763	.
WT	 60	4	0.850	0.036	0.018	0.057	LIGHT	0.66165511	.
WT	 61	4	0.833	0.036	0.018	0.057	LIGHT	0.62832634	.
WT	 62	4	0.865	0.072	0.036	0.115	LIGHT	0.85274974	.
