Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 42	4	21.625	0.499	0.250	0.794	DARK	0.8760234	.
112L2	 43	4	21.600	0.483	0.242	0.769	DARK	0.8063392	.
112L2	 44	4	21.625	0.499	0.250	0.794	DARK	0.8857003	.
112L2	 45	4	21.650	0.451	0.225	0.718	DARK	0.8782860	.
112L2	 46	4	21.625	0.499	0.250	0.794	DARK	0.8857003	.
112L2	 47	4	21.675	0.479	0.239	0.762	DARK	0.9123461	.
112L2	 48	4	21.650	0.451	0.225	0.718	DARK	0.9032270	.
112L2	 49	4	21.625	0.427	0.214	0.680	DARK	0.8384410	.
112L2	 50	4	21.625	0.427	0.214	0.680	LIGHT	0.9059341	.
112L2	 51	4	21.600	0.408	0.204	0.650	LIGHT	0.7825015	.
112L2	 52	4	21.625	0.435	0.217	0.692	LIGHT	0.7986996	.
112L2	 53	4	21.600	0.408	0.204	0.650	LIGHT	0.7978135	.
112L2	 54	4	21.600	0.408	0.204	0.650	LIGHT	0.8296653	.
112L2	 55	4	21.600	0.408	0.204	0.650	LIGHT	0.8296653	.
112L2	 56	4	21.625	0.359	0.180	0.572	LIGHT	0.8604046	.
112L2	 57	4	21.625	0.359	0.180	0.572	LIGHT	0.8612753	.
112L2	 58	4	21.625	0.359	0.180	0.572	LIGHT	0.8612753	.
112L2	 59	4	21.575	0.403	0.202	0.641	LIGHT	0.7934965	.
112L2	 60	4	21.575	0.320	0.160	0.509	LIGHT	0.7753273	.
112L2	 61	4	21.575	0.320	0.160	0.509	LIGHT	0.7753273	.
112L2	 62	4	21.575	0.320	0.160	0.509	LIGHT	0.7753273	.
112L2	 63	4	21.575	0.320	0.160	0.509	LIGHT	0.7071587	.
112L2	 64	4	21.550	0.300	0.150	0.477	LIGHT	0.7168874	.
112L2	 65	4	21.550	0.300	0.150	0.477	LIGHT	0.7423067	.
112L2	 66	4	21.575	0.250	0.125	0.398	LIGHT	0.8009756	.
112L2	 67	4	21.550	0.238	0.119	0.379	LIGHT	0.7337461	.
112L2	 68	4	21.550	0.238	0.119	0.379	LIGHT	0.7337461	.
112L2	 69	4	21.550	0.238	0.119	0.379	DARK	0.7289054	.
112L2	 70	4	21.550	0.238	0.119	0.379	DARK	0.7560288	.
112L2	 71	4	21.550	0.238	0.119	0.379	DARK	0.7659850	.
112L2	 72	4	21.550	0.238	0.119	0.379	DARK	0.7510131	.
112L2	 73	4	21.525	0.222	0.111	0.353	DARK	0.7015143	.
112L2	 74	4	21.525	0.222	0.111	0.353	DARK	0.6209193	.
112L2	 75	4	21.550	0.238	0.119	0.379	DARK	0.6905447	.
112L2	 76	4	21.525	0.222	0.111	0.353	DARK	0.6362795	.
