Genotype	TimePoint	N	VCO2.2.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 11	4	1112.00	 26.845	 13.423	 42.717	DARK	0.06386883	.
112L2	 12	4	1148.50	227.145	113.573	361.439	DARK	0.04392363	*
112L2	 13	4	 969.50	117.656	 58.828	187.217	LIGHT	0.01914646	*
112L2	 14	4	1161.50	222.988	111.494	354.824	LIGHT	0.36756354	.
112L2	 15	4	 911.25	109.281	 54.640	173.890	LIGHT	0.96408034	.
112L2	 16	4	 897.25	220.266	110.133	350.492	LIGHT	0.07474466	.
112L2	 17	4	1017.75	339.616	169.808	540.405	LIGHT	0.03596014	*
112L2	 18	4	 951.25	277.968	138.984	442.309	LIGHT	0.40813504	.
112L2	 19	4	 798.50	105.051	 52.525	167.159	LIGHT	0.81495604	.
112L2	 20	4	 742.25	 69.481	 34.740	110.559	LIGHT	0.34918630	.
112L2	 21	4	 870.25	195.560	 97.780	311.179	LIGHT	0.07039963	.
112L2	 22	4	 824.25	325.043	162.521	517.216	LIGHT	0.22954190	.
112L2	 23	4	 798.25	204.507	102.253	325.416	LIGHT	0.18767128	.
112L2	 24	4	 765.25	222.100	111.050	353.410	LIGHT	0.93727491	.
112L2	 25	4	 681.75	 71.309	 35.654	113.468	LIGHT	0.61032496	.
112L2	 26	4	 763.50	 38.354	 19.177	 61.029	LIGHT	0.34814134	.
112L2	 27	4	 696.00	168.965	 84.483	268.862	LIGHT	0.67545508	.
112L2	 28	4	 695.50	 40.237	 20.118	 64.026	LIGHT	0.51908718	.
112L2	 29	4	 715.50	170.228	 85.114	270.871	LIGHT	0.85799462	.
112L2	 30	4	 923.25	264.669	132.334	421.147	LIGHT	0.23822102	.
112L2	 31	4	 790.25	106.688	 53.344	169.764	LIGHT	0.98197229	.
112L2	 32	4	 829.50	221.541	110.770	352.521	DARK	0.44643610	.
112L2	 33	4	1021.25	237.240	118.620	377.502	DARK	0.96892120	.
112L2	 34	4	 866.75	216.215	108.107	344.046	DARK	0.46709287	.
112L2	 35	4	 845.25	145.057	 72.529	230.818	DARK	0.09101957	.
112L2	 36	4	 883.75	250.279	125.140	398.250	DARK	0.68324246	.
112L2	 37	4	 765.25	149.578	 74.789	238.012	DARK	0.45701168	.
112L2	 38	4	 864.75	204.383	102.191	325.218	DARK	0.36619285	.
112L2	 39	4	1002.00	268.877	134.438	427.843	DARK	0.64517037	.
112L2	 40	4	1094.00	240.549	120.275	382.768	DARK	0.20414835	.
112L2	 41	4	 994.00	251.368	125.684	399.983	DARK	0.95218940	.
112L2	 42	4	1150.75	165.383	 82.692	263.161	DARK	0.18106641	.
112L2	 43	4	1060.75	260.540	130.270	414.577	DARK	0.22884434	.
112L2	 44	4	1123.25	248.351	124.176	395.182	DARK	0.37100558	.
112L2	 45	4	 955.00	230.468	115.234	366.725	DARK	0.65942202	.
112L2	 46	4	 968.00	288.383	144.191	458.881	DARK	0.94995911	.
112L2	 47	4	 951.75	177.118	 88.559	281.835	DARK	0.34675760	.
112L2	 48	4	1053.50	285.609	142.804	454.467	DARK	0.35177122	.
112L2	 49	4	1159.00	159.906	 79.953	254.446	DARK	0.28855038	.
112L2	 50	4	1073.75	292.109	146.054	464.810	LIGHT	0.55402998	.
112L2	 51	4	 830.00	214.974	107.487	342.072	LIGHT	0.92680476	.
112L2	 52	4	 955.25	109.128	 54.564	173.647	LIGHT	0.30135519	.
112L2	 53	4	 997.25	186.589	 93.295	296.905	LIGHT	0.13168839	.
112L2	 54	4	 964.50	266.990	133.495	424.841	LIGHT	0.19067931	.
112L2	 55	4	 916.50	242.346	121.173	385.627	LIGHT	0.46271653	.
112L2	 56	4	 851.50	132.631	 66.316	211.046	LIGHT	0.21169002	.
112L2	 57	4	 858.75	126.339	 63.170	201.034	LIGHT	0.15963730	.
112L2	 58	4	 783.25	175.745	 87.872	279.649	LIGHT	0.98611522	.
112L2	 59	4	 952.75	457.663	228.832	728.244	LIGHT	0.35277107	.
112L2	 60	4	 780.00	231.748	115.874	368.763	LIGHT	0.48554991	.
112L2	 61	4	 747.25	169.134	 84.567	269.130	LIGHT	0.37190281	.
112L2	 62	4	 665.75	119.645	 59.822	190.382	LIGHT	0.92768250	.
112L2	 63	4	 731.25	222.677	111.338	354.328	LIGHT	0.64222594	.
112L2	 64	4	 780.75	 81.708	 40.854	130.016	LIGHT	0.33042854	.
112L2	 65	4	 913.25	235.426	117.713	374.616	LIGHT	0.06604072	.
112L2	 66	4	 785.25	107.844	 53.922	171.603	LIGHT	0.52346671	.
112L2	 67	4	 700.50	 73.141	 36.571	116.384	LIGHT	0.55128541	.
112L2	 68	4	 672.50	 82.432	 41.216	131.167	LIGHT	0.33064833	.
112L2	 69	4	 776.50	114.305	 57.153	181.885	DARK	0.15104945	.
112L2	 70	4	 848.00	302.971	151.485	482.094	DARK	0.19129700	.
112L2	 71	4	 974.50	182.882	 91.441	291.005	DARK	0.63431163	.
112L2	 72	4	1008.25	275.109	137.554	437.760	DARK	0.96983195	.
112L2	 73	4	 953.75	285.346	142.673	454.049	DARK	0.51896621	.
112L2	 74	4	 925.50	283.079	141.539	450.442	DARK	0.50368189	.
112L2	 75	4	 896.50	145.523	 72.762	231.560	DARK	0.52675785	.
112L2	 76	4	 927.00	 86.050	 43.025	136.925	DARK	0.23989805	.
