Genotype	TimePoint	N	O2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	  8	4	20.275	0.085	0.043	0.136	DARK	0.083489925	.
112L2	  9	4	20.322	0.078	0.039	0.125	DARK	0.030664053	*
112L2	 10	4	20.355	0.052	0.026	0.083	DARK	0.026563301	*
112L2	 11	4	20.270	0.042	0.021	0.068	DARK	0.024183657	*
112L2	 12	4	20.255	0.108	0.054	0.171	DARK	0.007344617	**
112L2	 13	4	20.337	0.083	0.041	0.131	LIGHT	0.019460612	*
112L2	 14	4	20.255	0.105	0.052	0.167	LIGHT	0.124896373	.
112L2	 15	4	20.388	0.069	0.034	0.110	LIGHT	0.721909703	.
112L2	 16	4	20.378	0.107	0.053	0.170	LIGHT	0.036425375	*
112L2	 17	4	20.317	0.148	0.074	0.236	LIGHT	0.012307440	*
112L2	 18	4	20.343	0.129	0.065	0.206	LIGHT	0.132129502	.
112L2	 19	4	20.413	0.045	0.022	0.072	LIGHT	0.112113846	.
112L2	 20	4	20.440	0.016	0.008	0.026	LIGHT	0.062705711	.
112L2	 21	4	20.373	0.072	0.036	0.115	LIGHT	0.013007972	*
112L2	 22	4	20.402	0.138	0.069	0.220	LIGHT	0.062302899	.
112L2	 23	4	20.407	0.090	0.045	0.144	LIGHT	0.012756317	*
112L2	 24	4	20.422	0.090	0.045	0.143	LIGHT	0.645623364	.
112L2	 25	4	20.455	0.026	0.013	0.042	LIGHT	0.844848717	.
112L2	 26	4	20.413	0.030	0.015	0.048	LIGHT	0.096646153	.
112L2	 27	4	20.443	0.067	0.033	0.106	LIGHT	0.269865185	.
112L2	 28	4	20.438	0.040	0.020	0.064	LIGHT	0.056245657	.
112L2	 29	4	20.433	0.049	0.024	0.077	LIGHT	0.050723831	.
112L2	 30	4	20.337	0.132	0.066	0.210	LIGHT	0.094546861	.
112L2	 31	4	20.407	0.033	0.017	0.053	LIGHT	0.290677202	.
112L2	 32	4	20.385	0.081	0.041	0.129	DARK	0.316968764	.
112L2	 33	4	20.288	0.105	0.053	0.167	DARK	0.221370324	.
112L2	 34	4	20.378	0.058	0.029	0.092	DARK	0.843227205	.
112L2	 35	4	20.380	0.050	0.025	0.079	DARK	0.860696020	.
112L2	 36	4	20.365	0.094	0.047	0.150	DARK	0.770805178	.
112L2	 37	4	20.420	0.047	0.023	0.075	DARK	0.981695079	.
112L2	 38	4	20.363	0.096	0.048	0.153	DARK	0.594520115	.
112L2	 39	4	20.308	0.094	0.047	0.150	DARK	0.209699510	.
112L2	 40	4	20.273	0.094	0.047	0.149	DARK	0.051795538	.
112L2	 41	4	20.320	0.091	0.045	0.144	DARK	0.487149846	.
112L2	 42	4	20.245	0.065	0.032	0.103	DARK	0.040717226	*
112L2	 43	4	20.292	0.079	0.040	0.126	DARK	0.080851488	.
112L2	 44	4	20.278	0.104	0.052	0.166	DARK	0.186903303	.
112L2	 45	4	20.358	0.095	0.047	0.151	DARK	0.578911669	.
112L2	 46	4	20.352	0.099	0.050	0.158	DARK	0.800296884	.
112L2	 47	4	20.350	0.079	0.039	0.125	DARK	0.055100537	.
112L2	 48	4	20.308	0.093	0.046	0.148	DARK	0.057269585	.
112L2	 49	4	20.255	0.058	0.029	0.092	DARK	0.095491498	.
112L2	 50	4	20.288	0.145	0.072	0.230	LIGHT	0.141696749	.
112L2	 51	4	20.402	0.098	0.049	0.156	LIGHT	0.866703448	.
112L2	 52	4	20.337	0.029	0.014	0.046	LIGHT	0.076900078	.
112L2	 53	4	20.320	0.081	0.041	0.129	LIGHT	0.010119681	*
112L2	 54	4	20.340	0.120	0.060	0.191	LIGHT	0.066770704	.
112L2	 55	4	20.365	0.105	0.053	0.168	LIGHT	0.236069851	.
112L2	 56	4	20.398	0.061	0.031	0.098	LIGHT	0.104065406	.
112L2	 57	4	20.398	0.043	0.021	0.068	LIGHT	0.022779895	*
112L2	 58	4	20.422	0.060	0.030	0.096	LIGHT	0.827281879	.
112L2	 59	4	20.337	0.195	0.098	0.311	LIGHT	0.129461082	.
112L2	 60	4	20.415	0.107	0.053	0.170	LIGHT	0.210887904	.
112L2	 61	4	20.427	0.061	0.031	0.098	LIGHT	0.080024365	.
112L2	 62	4	20.468	0.038	0.019	0.060	LIGHT	0.723801833	.
112L2	 63	4	20.433	0.086	0.043	0.137	LIGHT	0.172827080	.
112L2	 64	4	20.405	0.044	0.022	0.069	LIGHT	0.084331475	.
112L2	 65	4	20.343	0.100	0.050	0.159	LIGHT	0.011614941	*
