Genotype	TimePoint	N	VO2.1.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 31	4	1998.25	 129.152	 64.576	 205.510	LIGHT	0.82976328	.
112L2	 32	4	2133.50	 492.156	246.078	 783.130	DARK	0.47416676	.
112L2	 33	4	2612.50	 540.472	270.236	 860.011	DARK	0.67484172	.
112L2	 34	4	2087.50	 332.516	166.258	 529.107	DARK	0.22517180	.
112L2	 35	4	2139.50	 248.140	124.070	 394.847	DARK	0.09908871	.
112L2	 36	4	2211.50	 475.537	237.768	 756.685	DARK	0.41970542	.
112L2	 37	4	1939.50	 238.088	119.044	 378.850	DARK	0.34398252	.
112L2	 38	4	2231.50	 450.156	225.078	 716.298	DARK	0.48182969	.
112L2	 39	4	2502.25	 454.176	227.088	 722.696	DARK	0.94266963	.
112L2	 40	4	2648.25	 441.360	220.680	 702.303	DARK	0.15421922	.
112L2	 41	4	2428.25	 412.006	206.003	 655.593	DARK	0.73107032	.
112L2	 42	4	2790.75	 239.839	119.920	 381.638	DARK	0.13221178	.
112L2	 43	4	2570.25	 442.589	221.294	 704.258	DARK	0.10242289	.
112L2	 44	4	2552.00	 542.044	271.022	 862.512	DARK	0.17288052	.
112L2	 45	4	2212.25	 443.701	221.850	 706.027	DARK	0.35484009	.
112L2	 46	4	2255.50	 584.152	292.076	 929.515	DARK	0.83302283	.
112L2	 47	4	2259.75	 356.397	178.199	 567.107	DARK	0.53097662	.
112L2	 48	4	2469.00	 506.918	253.459	 806.620	DARK	0.61844356	.
112L2	 49	4	2743.50	 317.757	158.879	 505.623	DARK	0.55862738	.
112L2	 50	4	2493.25	 648.372	324.186	1031.705	LIGHT	0.92190236	.
112L2	 51	4	1929.25	 416.048	208.024	 662.026	LIGHT	0.71123866	.
112L2	 52	4	2284.00	 234.683	117.341	 373.433	LIGHT	0.31330466	.
112L2	 53	4	2372.75	 449.305	224.652	 714.944	LIGHT	0.33923231	.
112L2	 54	4	2251.75	 568.382	284.191	 904.422	LIGHT	0.35344029	.
112L2	 55	4	2187.25	 500.599	250.299	 796.564	LIGHT	0.82453566	.
112L2	 56	4	2017.25	 242.039	121.020	 385.138	LIGHT	0.74040187	.
112L2	 57	4	2026.25	 250.070	125.035	 397.917	LIGHT	0.53393310	.
112L2	 58	4	1904.75	 262.318	131.159	 417.407	LIGHT	0.70070332	.
112L2	 59	4	2307.50	 879.672	439.836	1399.755	LIGHT	0.46593709	.
112L2	 60	4	1888.25	 511.316	255.658	 813.618	LIGHT	0.63318580	.
112L2	 61	4	1835.50	 266.384	133.192	 423.876	LIGHT	0.62833624	.
112L2	 62	4	1629.25	 132.165	 66.082	 210.304	LIGHT	0.63678282	.
112L2	 63	4	1869.00	 375.137	187.569	 596.927	LIGHT	0.94384992	.
112L2	 64	4	2014.25	 168.538	 84.269	 268.181	LIGHT	0.59240891	.
112L2	 65	4	2276.75	 541.832	270.916	 862.176	LIGHT	0.08039894	.
112L2	 66	4	1996.50	 123.051	 61.526	 195.802	LIGHT	0.30092381	.
112L2	 67	4	1752.00	  73.371	 36.686	 116.750	LIGHT	0.44594825	.
112L2	 68	4	1733.25	 186.153	 93.076	 296.211	LIGHT	0.25132779	.
112L2	 69	4	2079.00	 382.147	191.074	 608.082	DARK	0.25284626	.
112L2	 70	4	2198.75	 568.110	284.055	 903.990	DARK	0.25301716	.
112L2	 71	4	2485.50	 256.622	128.311	 408.343	DARK	0.78417986	.
112L2	 72	4	2513.25	 518.408	259.204	 824.903	DARK	0.46704752	.
112L2	 73	4	2302.50	 517.619	258.810	 823.648	DARK	0.34332381	.
112L2	 74	4	2225.00	 555.042	277.521	 883.196	DARK	0.29401253	.
112L2	 75	4	2153.25	 167.699	 83.849	 266.846	DARK	0.30727281	.
112L2	 76	4	2367.00	 155.124	 77.562	 246.836	DARK	0.10670696	.
112L2	 77	4	2693.75	 391.728	195.864	 623.327	DARK	0.35788129	.
112L2	 78	4	2842.75	 119.662	 59.831	 190.408	DARK	0.24900573	.
112L2	 79	4	2639.00	 276.768	138.384	 440.400	DARK	0.33619163	.
112L2	 80	4	2634.00	 282.313	141.157	 449.223	DARK	0.88467712	.
112L2	 81	4	2345.25	 390.228	195.114	 620.941	DARK	0.11340274	.
112L2	 82	4	3115.00	 192.584	 96.292	 306.444	DARK	0.02096864	*
112L2	 83	4	2495.75	 421.729	210.865	 671.065	DARK	0.64738098	.
112L2	 84	4	2437.50	 351.118	175.559	 558.707	DARK	0.25828270	.
112L2	 85	4	2500.00	 555.475	277.738	 883.885	DARK	0.40813745	.
112L2	 86	4	2488.75	 410.851	205.425	 653.755	DARK	0.40305547	.
112L2	 87	4	2119.00	 388.676	194.338	 618.470	LIGHT	0.21268434	.
112L2	 88	4	2122.00	 288.840	144.420	 459.609	LIGHT	0.96815679	.
112L2	 89	4	2130.75	 479.644	239.822	 763.220	LIGHT	0.90953398	.
112L2	 90	4	2720.50	 359.144	179.572	 571.478	LIGHT	0.09623579	.
112L2	 91	4	2303.75	 366.070	183.035	 582.500	LIGHT	0.62578205	.
112L2	 92	4	2233.50	 583.011	291.505	 927.700	LIGHT	0.45127710	.
112L2	 93	4	2402.50	 748.599	374.299	1191.188	LIGHT	0.16147762	.
112L2	 94	4	2231.25	 461.126	230.563	 733.755	LIGHT	0.87287055	.
112L2	 95	4	1827.25	 104.551	 52.276	 166.364	LIGHT	0.40592870	.
112L2	 96	4	1944.75	 385.996	192.998	 614.206	LIGHT	0.48425902	.
112L2	 97	4	1938.50	 367.019	183.510	 584.009	LIGHT	0.59251856	.
112L2	 98	4	1651.75	  95.399	 47.699	 151.801	LIGHT	0.74956383	.
112L2	 99	4	1909.75	 217.293	108.647	 345.762	LIGHT	0.37574493	.
112L2	100	4	1853.75	 179.385	 89.692	 285.441	LIGHT	0.66046361	.
112L2	101	4	1780.50	 184.713	 92.357	 293.920	LIGHT	0.64421994	.
112L2	102	4	2108.75	 282.381	141.190	 449.331	LIGHT	0.96922626	.
112L2	103	4	2015.25	 573.484	286.742	 912.542	LIGHT	0.72699548	.
112L2	104	4	1924.75	 230.948	115.474	 367.490	LIGHT	0.03949730	*
112L2	105	4	1949.75	 307.292	153.646	 488.970	DARK	0.97533858	.
112L2	106	4	2000.00	 430.865	215.433	 685.602	DARK	0.13046343	.
112L2	107	4	2149.75	 485.501	242.750	 772.540	DARK	0.30763763	.
112L2	108	4	2117.75	 485.428	242.714	 772.424	DARK	0.40684366	.
112L2	109	4	2047.00	 415.804	207.902	 661.636	DARK	0.14387627	.
112L2	110	4	2311.75	 403.799	201.899	 642.534	DARK	0.13960539	.
112L2	111	4	2567.25	 798.366	399.183	1270.378	DARK	0.57305645	.
WT	  1	4	2439.25	 299.120	149.560	 475.967	DARK	0.63005283	.
WT	  2	4	2399.25	 581.533	290.767	 925.349	DARK	0.85380221	.
WT	  3	4	2678.00	 603.603	301.802	 960.467	DARK	0.79061488	.
WT	  4	4	2325.00	 545.748	272.874	 868.407	DARK	0.68840812	.
WT	  5	4	2214.75	 356.177	178.089	 566.758	DARK	0.06286655	.
WT	  6	4	2085.00	  57.989	 28.994	  92.273	DARK	0.04172132	*
WT	  7	4	2109.50	 344.897	172.448	 548.807	DARK	0.20800461	.
WT	  8	4	2067.50	 638.114	319.057	1015.382	DARK	0.29890272	.
WT	  9	4	2066.75	 316.516	158.258	 503.647	DARK	0.37521942	.
WT	 10	4	1944.50	 271.328	135.664	 431.744	DARK	0.29578955	.
WT	 11	4	1851.50	 297.145	148.572	 472.824	DARK	0.04090235	*
WT	 12	4	2200.00	 446.758	223.379	 710.892	DARK	0.10339713	.
WT	 13	4	2375.75	 614.224	307.112	 977.368	LIGHT	0.11138409	.
WT	 14	4	2607.50	 595.035	297.518	 946.834	LIGHT	0.59174911	.
WT	 15	4	2245.50	 926.418	463.209	1474.138	LIGHT	0.70499799	.
WT	 16	4	1682.75	 400.080	200.040	 636.617	LIGHT	0.28520546	.
WT	 17	4	1761.00	 258.885	129.442	 411.943	LIGHT	0.04293507	*
WT	 18	4	1946.25	 804.654	402.327	1280.384	LIGHT	0.55834114	.
WT	 19	4	2028.25	 531.205	265.602	 845.265	LIGHT	0.95891392	.
WT	 20	4	1838.00	 552.696	276.348	 879.462	LIGHT	0.90446722	.
WT	 21	4	1707.25	 300.583	150.292	 478.295	LIGHT	0.14057255	.
WT	 22	4	1742.00	 119.071	 59.536	 189.469	LIGHT	0.58828569	.
WT	 23	4	1744.50	 195.594	 97.797	 311.234	LIGHT	0.57002638	.
WT	 24	4	2046.00	 616.648	308.324	 981.225	LIGHT	0.70723094	.
