Genotype	TimePoint	N	dCO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 10	4	0.428	0.054	0.027	0.085	DARK	0.047256542	*
112L2	 11	4	0.505	0.012	0.006	0.019	DARK	0.028452208	*
112L2	 12	4	0.522	0.108	0.054	0.172	DARK	0.008664402	**
112L2	 13	4	0.441	0.064	0.032	0.102	LIGHT	0.005772104	**
112L2	 14	4	0.527	0.100	0.050	0.159	LIGHT	0.115141559	.
112L2	 15	4	0.414	0.056	0.028	0.089	LIGHT	0.365492021	.
112L2	 16	4	0.408	0.102	0.051	0.163	LIGHT	0.020148524	*
112L2	 17	4	0.461	0.153	0.077	0.244	LIGHT	0.014542978	*
112L2	 18	4	0.433	0.131	0.066	0.209	LIGHT	0.150621527	.
112L2	 19	4	0.363	0.053	0.027	0.085	LIGHT	0.117445721	.
112L2	 20	4	0.336	0.022	0.011	0.034	LIGHT	0.031667545	*
112L2	 21	4	0.395	0.088	0.044	0.140	LIGHT	0.017568491	*
112L2	 22	4	0.375	0.150	0.075	0.239	LIGHT	0.068400389	.
112L2	 23	4	0.363	0.096	0.048	0.153	LIGHT	0.019616884	*
112L2	 24	4	0.348	0.103	0.052	0.164	LIGHT	0.588505785	.
112L2	 25	4	0.310	0.036	0.018	0.058	LIGHT	0.870108418	.
112L2	 26	4	0.347	0.027	0.014	0.043	LIGHT	0.097122334	.
112L2	 27	4	0.316	0.079	0.040	0.126	LIGHT	0.378505434	.
112L2	 28	4	0.317	0.026	0.013	0.042	LIGHT	0.074591359	.
112L2	 29	4	0.323	0.066	0.033	0.105	LIGHT	0.112696894	.
112L2	 30	4	0.420	0.123	0.061	0.195	LIGHT	0.053260165	.
112L2	 31	4	0.358	0.047	0.024	0.075	LIGHT	0.341911886	.
112L2	 32	4	0.374	0.087	0.044	0.139	DARK	0.328255464	.
112L2	 33	4	0.463	0.100	0.050	0.159	DARK	0.304390700	.
112L2	 34	4	0.392	0.085	0.042	0.135	DARK	0.830074509	.
112L2	 35	4	0.383	0.057	0.029	0.091	DARK	0.582517980	.
112L2	 36	4	0.400	0.105	0.053	0.167	DARK	0.924932772	.
112L2	 37	4	0.346	0.060	0.030	0.095	DARK	0.946624240	.
112L2	 38	4	0.392	0.092	0.046	0.147	DARK	0.545640236	.
112L2	 39	4	0.454	0.118	0.059	0.187	DARK	0.269407612	.
112L2	 40	4	0.497	0.104	0.052	0.166	DARK	0.070603514	.
112L2	 41	4	0.451	0.111	0.056	0.177	DARK	0.502556505	.
112L2	 42	4	0.522	0.077	0.038	0.122	DARK	0.069795041	.
112L2	 43	4	0.480	0.106	0.053	0.169	DARK	0.133808451	.
112L2	 44	4	0.508	0.105	0.052	0.167	DARK	0.206516976	.
112L2	 45	4	0.434	0.105	0.053	0.167	DARK	0.610750214	.
112L2	 46	4	0.437	0.116	0.058	0.184	DARK	0.755499167	.
112L2	 47	4	0.432	0.081	0.041	0.129	DARK	0.079507942	.
112L2	 48	4	0.476	0.115	0.057	0.183	DARK	0.076296250	.
112L2	 49	4	0.525	0.064	0.032	0.102	DARK	0.078821651	.
112L2	 50	4	0.489	0.139	0.070	0.222	LIGHT	0.150664687	.
112L2	 51	4	0.379	0.106	0.053	0.168	LIGHT	0.887104709	.
112L2	 52	4	0.433	0.039	0.019	0.061	LIGHT	0.102742725	.
112L2	 53	4	0.452	0.079	0.040	0.126	LIGHT	0.019557410	*
112L2	 54	4	0.439	0.124	0.062	0.198	LIGHT	0.065909497	.
112L2	 55	4	0.417	0.113	0.056	0.180	LIGHT	0.166470095	.
112L2	 56	4	0.388	0.068	0.034	0.109	LIGHT	0.041780830	*
112L2	 57	4	0.390	0.052	0.026	0.083	LIGHT	0.004900617	***
112L2	 58	4	0.356	0.082	0.041	0.130	LIGHT	0.777217504	.
112L2	 59	4	0.435	0.214	0.107	0.340	LIGHT	0.168519575	.
112L2	 60	4	0.355	0.109	0.054	0.173	LIGHT	0.217333689	.
112L2	 61	4	0.339	0.079	0.040	0.126	LIGHT	0.114669315	.
112L2	 62	4	0.302	0.056	0.028	0.089	LIGHT	0.716917506	.
112L2	 63	4	0.333	0.104	0.052	0.166	LIGHT	0.209652100	.
112L2	 64	4	0.355	0.042	0.021	0.067	LIGHT	0.071242102	.
112L2	 65	4	0.414	0.102	0.051	0.163	LIGHT	0.018577691	*
112L2	 66	4	0.358	0.056	0.028	0.089	LIGHT	0.632843677	.
112L2	 67	4	0.319	0.036	0.018	0.057	LIGHT	0.500523267	.
112L2	 68	4	0.306	0.042	0.021	0.066	LIGHT	0.616865095	.
112L2	 69	4	0.352	0.043	0.022	0.069	DARK	0.403787280	.
112L2	 70	4	0.382	0.125	0.063	0.199	DARK	0.243661225	.
112L2	 71	4	0.442	0.074	0.037	0.117	DARK	0.486492414	.
112L2	 72	4	0.455	0.109	0.055	0.174	DARK	0.525692622	.
112L2	 73	4	0.432	0.119	0.060	0.189	DARK	0.634726567	.
112L2	 74	4	0.420	0.131	0.066	0.209	DARK	0.719674504	.
112L2	 75	4	0.407	0.062	0.031	0.099	DARK	0.758957899	.
112L2	 76	4	0.421	0.041	0.020	0.065	DARK	0.207545493	.
112L2	 77	4	0.495	0.106	0.053	0.168	DARK	0.280918008	.
112L2	 78	4	0.530	0.059	0.030	0.095	DARK	0.146773928	.
112L2	 79	4	0.501	0.075	0.038	0.120	DARK	0.187203336	.
112L2	 80	4	0.489	0.074	0.037	0.118	DARK	0.568036661	.
112L2	 81	4	0.454	0.083	0.041	0.132	DARK	0.739859034	.
112L2	 82	4	0.615	0.034	0.017	0.054	DARK	0.004517060	***
112L2	 83	4	0.485	0.102	0.051	0.162	DARK	0.162951094	.
112L2	 84	4	0.456	0.075	0.037	0.119	DARK	0.172351276	.
112L2	 85	4	0.472	0.113	0.056	0.179	DARK	0.237585474	.
112L2	 86	4	0.488	0.105	0.053	0.167	DARK	0.375215008	.
112L2	 87	4	0.403	0.083	0.042	0.133	LIGHT	0.968681158	.
112L2	 88	4	0.404	0.055	0.027	0.087	LIGHT	0.435034191	.
112L2	 89	4	0.403	0.108	0.054	0.172	LIGHT	0.583680811	.
112L2	 90	4	0.512	0.099	0.049	0.157	LIGHT	0.011228346	*
112L2	 91	4	0.452	0.092	0.046	0.147	LIGHT	0.152069084	.
112L2	 92	4	0.427	0.137	0.069	0.218	LIGHT	0.163354244	.
112L2	 93	4	0.448	0.178	0.089	0.284	LIGHT	0.052275965	.
112L2	 94	4	0.407	0.123	0.062	0.196	LIGHT	0.396246507	.
112L2	 95	4	0.319	0.066	0.033	0.105	LIGHT	0.087398090	.
112L2	 96	4	0.349	0.118	0.059	0.187	LIGHT	0.240353218	.
112L2	 97	4	0.352	0.107	0.054	0.171	LIGHT	0.329072357	.
112L2	 98	4	0.298	0.051	0.025	0.081	LIGHT	0.544931965	.
112L2	 99	4	0.354	0.070	0.035	0.111	LIGHT	0.041286360	*
112L2	100	4	0.317	0.046	0.023	0.072	LIGHT	0.228822038	.
112L2	101	4	0.318	0.052	0.026	0.083	LIGHT	0.076277887	.
112L2	102	4	0.374	0.064	0.032	0.102	LIGHT	0.095849425	.
112L2	103	4	0.356	0.115	0.058	0.183	LIGHT	0.325868716	.
112L2	104	4	0.340	0.064	0.032	0.102	LIGHT	0.129699197	.
112L2	105	4	0.343	0.030	0.015	0.047	DARK	0.290711196	.
112L2	106	4	0.354	0.072	0.036	0.115	DARK	0.400792395	.
112L2	107	4	0.384	0.108	0.054	0.172	DARK	0.982230504	.
112L2	108	4	0.392	0.116	0.058	0.185	DARK	0.700658701	.
112L2	109	4	0.365	0.098	0.049	0.155	DARK	0.920538759	.
112L2	110	4	0.420	0.104	0.052	0.165	DARK	0.883585201	.
112L2	111	4	0.458	0.157	0.079	0.250	DARK	0.509557048	.
WT	  1	4	0.390	0.077	0.038	0.122	DARK	0.444550010	.
WT	  2	4	0.379	0.077	0.039	0.123	DARK	0.526888177	.
WT	  3	4	0.433	0.096	0.048	0.153	DARK	0.769688646	.
WT	  4	4	0.376	0.098	0.049	0.156	DARK	0.379979549	.
WT	  5	4	0.356	0.072	0.036	0.115	DARK	0.022669168	*
WT	  6	4	0.314	0.032	0.016	0.051	DARK	0.018761476	*
WT	  7	4	0.324	0.041	0.020	0.064	DARK	0.086584033	.
WT	  8	4	0.306	0.092	0.046	0.147	DARK	0.065084448	.
WT	  9	4	0.316	0.038	0.019	0.061	DARK	0.059105321	.
WT	 10	4	0.297	0.037	0.018	0.059	DARK	0.047256542	*
WT	 11	4	0.283	0.055	0.028	0.088	DARK	0.028452208	*
WT	 12	4	0.340	0.053	0.026	0.084	DARK	0.008664402	**
WT	 13	4	0.355	0.075	0.037	0.119	LIGHT	0.005772104	**
WT	 14	4	0.407	0.098	0.049	0.155	LIGHT	0.115141559	.
WT	 15	4	0.350	0.134	0.067	0.213	LIGHT	0.365492021	.
WT	 16	4	0.258	0.054	0.027	0.085	LIGHT	0.020148524	*
WT	 17	4	0.267	0.046	0.023	0.073	LIGHT	0.014542978	*
WT	 18	4	0.292	0.124	0.062	0.197	LIGHT	0.150621527	.
WT	 19	4	0.288	0.088	0.044	0.141	LIGHT	0.117445721	.
WT	 20	4	0.264	0.084	0.042	0.134	LIGHT	0.031667545	*
WT	 21	4	0.232	0.045	0.023	0.072	LIGHT	0.017568491	*
WT	 22	4	0.235	0.017	0.009	0.028	LIGHT	0.068400389	.
WT	 23	4	0.244	0.041	0.021	0.066	LIGHT	0.019616884	*
WT	 24	4	0.288	0.104	0.052	0.166	LIGHT	0.588505785	.
WT	 25	4	0.278	0.104	0.052	0.166	LIGHT	0.870108418	.
WT	 26	4	0.242	0.076	0.038	0.121	LIGHT	0.097122334	.
WT	 27	4	0.319	0.105	0.052	0.166	LIGHT	0.378505434	.
WT	 28	4	0.240	0.068	0.034	0.109	LIGHT	0.074591359	.
WT	 29	4	0.269	0.059	0.030	0.094	LIGHT	0.112696894	.
WT	 30	4	0.286	0.040	0.020	0.063	LIGHT	0.053260165	.
WT	 31	4	0.309	0.052	0.026	0.083	LIGHT	0.341911886	.
WT	 32	4	0.397	0.045	0.022	0.071	DARK	0.328255464	.
WT	 33	4	0.407	0.039	0.019	0.062	DARK	0.304390700	.
WT	 34	4	0.398	0.071	0.035	0.112	DARK	0.830074509	.
WT	 35	4	0.435	0.092	0.046	0.146	DARK	0.582517980	.
WT	 36	4	0.378	0.095	0.047	0.151	DARK	0.924932772	.
WT	 37	4	0.365	0.073	0.036	0.115	DARK	0.946624240	.
WT	 38	4	0.455	0.160	0.080	0.255	DARK	0.545640236	.
WT	 39	4	0.406	0.062	0.031	0.099	DARK	0.269407612	.
WT	 40	4	0.322	0.054	0.027	0.086	DARK	0.070603514	.
WT	 41	4	0.414	0.100	0.050	0.159	DARK	0.502556505	.
WT	 42	4	0.348	0.095	0.048	0.152	DARK	0.069795041	.
WT	 43	4	0.310	0.076	0.038	0.121	DARK	0.133808451	.
WT	 44	4	0.366	0.073	0.036	0.115	DARK	0.206516976	.
WT	 45	4	0.343	0.078	0.039	0.124	DARK	0.610750214	.
WT	 46	4	0.371	0.071	0.035	0.113	DARK	0.755499167	.
WT	 47	4	0.328	0.065	0.033	0.103	DARK	0.079507942	.
WT	 48	4	0.341	0.098	0.049	0.156	DARK	0.076296250	.
WT	 49	4	0.349	0.085	0.042	0.135	DARK	0.078821651	.
WT	 50	4	0.389	0.098	0.049	0.156	LIGHT	0.150664687	.
WT	 51	4	0.357	0.078	0.039	0.124	LIGHT	0.887104709	.
WT	 52	4	0.335	0.099	0.050	0.158	LIGHT	0.102742725	.
WT	 53	4	0.294	0.084	0.042	0.134	LIGHT	0.019557410	*
WT	 54	4	0.313	0.045	0.023	0.072	LIGHT	0.065909497	.
WT	 55	4	0.286	0.074	0.037	0.118	LIGHT	0.166470095	.
WT	 56	4	0.264	0.041	0.020	0.065	LIGHT	0.041780830	*
WT	 57	4	0.259	0.036	0.018	0.058	LIGHT	0.004900617	***
WT	 58	4	0.317	0.106	0.053	0.168	LIGHT	0.777217504	.
WT	 59	4	0.259	0.084	0.042	0.133	LIGHT	0.168519575	.
WT	 60	4	0.248	0.057	0.029	0.091	LIGHT	0.217333689	.
WT	 61	4	0.237	0.048	0.024	0.076	LIGHT	0.114669315	.
WT	 62	4	0.264	0.098	0.049	0.156	LIGHT	0.716917506	.
WT	 63	4	0.254	0.067	0.034	0.107	LIGHT	0.209652100	.
WT	 64	4	0.247	0.067	0.033	0.106	LIGHT	0.071242102	.
WT	 65	4	0.263	0.055	0.028	0.088	LIGHT	0.018577691	*
WT	 66	4	0.294	0.097	0.048	0.154	LIGHT	0.632843677	.
WT	 67	4	0.320	0.074	0.037	0.118	LIGHT	0.500523267	.
WT	 68	4	0.342	0.070	0.035	0.111	LIGHT	0.616865095	.
WT	 69	4	0.428	0.126	0.063	0.201	DARK	0.403787280	.
WT	 70	4	0.463	0.097	0.049	0.155	DARK	0.243661225	.
WT	 71	4	0.450	0.168	0.084	0.268	DARK	0.486492414	.
WT	 72	4	0.395	0.036	0.018	0.058	DARK	0.525692622	.
WT	 73	4	0.444	0.055	0.027	0.087	DARK	0.634726567	.
WT	 74	4	0.431	0.038	0.019	0.060	DARK	0.719674504	.
WT	 75	4	0.411	0.096	0.048	0.153	DARK	0.758957899	.
WT	 76	4	0.338	0.053	0.026	0.084	DARK	0.207545493	.
WT	 77	4	0.367	0.112	0.056	0.177	DARK	0.280918008	.
WT	 78	4	0.392	0.071	0.036	0.114	DARK	0.146773928	.
WT	 79	4	0.365	0.038	0.019	0.060	DARK	0.187203336	.
