Genotype	TimePoint	N	dO2	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 48	4	0.503	0.090	0.045	0.144	DARK	0.056664954	.
112L2	 49	4	0.559	0.060	0.030	0.095	DARK	0.092266631	.
112L2	 50	4	0.513	0.144	0.072	0.230	LIGHT	0.141374062	.
112L2	 51	4	0.398	0.100	0.050	0.160	LIGHT	0.875782665	.
112L2	 52	4	0.464	0.030	0.015	0.047	LIGHT	0.073852355	.
112L2	 53	4	0.483	0.084	0.042	0.133	LIGHT	0.010094331	*
112L2	 54	4	0.462	0.123	0.062	0.196	LIGHT	0.066052513	.
112L2	 55	4	0.446	0.108	0.054	0.172	LIGHT	0.236200295	.
112L2	 56	4	0.413	0.063	0.032	0.100	LIGHT	0.104160712	.
112L2	 57	4	0.413	0.044	0.022	0.070	LIGHT	0.022364039	*
112L2	 58	4	0.387	0.062	0.031	0.099	LIGHT	0.828736671	.
112L2	 59	4	0.472	0.196	0.098	0.311	LIGHT	0.127497064	.
112L2	 60	4	0.385	0.110	0.055	0.174	LIGHT	0.209679631	.
112L2	 61	4	0.372	0.063	0.032	0.100	LIGHT	0.077462124	.
112L2	 62	4	0.331	0.039	0.020	0.062	LIGHT	0.722564519	.
112L2	 63	4	0.377	0.089	0.044	0.141	LIGHT	0.171319308	.
112L2	 64	4	0.405	0.045	0.023	0.072	LIGHT	0.081006637	.
112L2	 65	4	0.459	0.102	0.051	0.163	LIGHT	0.011191988	*
112L2	 66	4	0.403	0.042	0.021	0.067	LIGHT	0.483547179	.
112L2	 67	4	0.354	0.020	0.010	0.031	LIGHT	0.427214847	.
112L2	 68	4	0.349	0.043	0.022	0.069	LIGHT	0.601433193	.
112L2	 69	4	0.413	0.059	0.029	0.093	DARK	0.585887525	.
112L2	 70	4	0.438	0.107	0.054	0.171	DARK	0.219051627	.
112L2	 71	4	0.501	0.051	0.026	0.082	DARK	0.424601608	.
112L2	 72	4	0.506	0.091	0.046	0.145	DARK	0.231414435	.
112L2	 73	4	0.467	0.101	0.051	0.161	DARK	0.549645257	.
112L2	 74	4	0.454	0.126	0.063	0.201	DARK	0.751238757	.
112L2	 75	4	0.439	0.042	0.021	0.067	DARK	0.725529110	.
112L2	 76	4	0.477	0.043	0.021	0.068	DARK	0.062387854	.
112L2	 77	4	0.544	0.072	0.036	0.115	DARK	0.136660426	.
112L2	 78	4	0.577	0.034	0.017	0.054	DARK	0.062574008	.
112L2	 79	4	0.539	0.069	0.035	0.110	DARK	0.158147515	.
