Genotype	TimePoint	N	CenF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 16	4	 217.75	370.033	185.016	 588.805	LIGHT	0.6037387653	.
112L2	 17	4	 223.50	170.322	 85.161	 271.021	LIGHT	0.9021243671	.
112L2	 18	4	 274.75	362.423	181.211	 576.695	LIGHT	0.9654153549	.
112L2	 19	4	 176.75	161.653	 80.826	 257.225	LIGHT	0.9320251825	.
112L2	 20	4	 298.50	548.777	274.388	 873.226	LIGHT	0.7288559321	.
112L2	 21	4	 360.25	469.077	234.539	 746.407	LIGHT	0.5184388659	.
112L2	 22	4	 263.00	336.320	168.160	 535.161	LIGHT	0.6507003253	.
112L2	 23	4	  57.50	114.334	 57.167	 181.931	LIGHT	0.1905411918	.
112L2	 24	4	  83.75	140.460	 70.230	 223.503	LIGHT	0.2410390954	.
112L2	 25	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.3100115704	.
112L2	 26	4	  21.00	 24.304	 12.152	  38.673	LIGHT	0.5797268248	.
112L2	 27	4	   0.00	  0.000	  0.000	   0.000	LIGHT	0.3850362549	.
112L2	 28	4	  67.00	134.000	 67.000	 213.224	LIGHT	0.2541392022	.
112L2	 29	4	 134.25	156.755	 78.378	 249.433	LIGHT	0.3207416544	.
112L2	 30	4	 128.50	178.715	 89.357	 284.375	LIGHT	0.3228273901	.
112L2	 31	4	   7.25	 11.413	  5.706	  18.160	LIGHT	0.0442969398	*
112L2	 32	4	 371.75	743.500	371.750	1183.074	DARK	0.7649646684	.
112L2	 33	4	 452.75	378.760	189.380	 602.691	DARK	0.5345706988	.
112L2	 34	4	 125.75	145.218	 72.609	 231.074	DARK	0.0251072964	*
112L2	 35	4	 139.00	116.819	 58.409	 185.885	DARK	0.0659294275	.
112L2	 36	4	 564.25	439.345	219.673	 699.096	DARK	0.4899123996	.
112L2	 37	4	 251.50	480.601	240.300	 764.743	DARK	0.9066231847	.
112L2	 38	4	 485.75	397.751	198.875	 632.910	DARK	0.5156498492	.
112L2	 39	4	 395.75	284.151	142.075	 452.147	DARK	0.3828587342	.
