Genotype	TimePoint	N	YA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 45	4	3827.00	 531.411	 265.706	  845.594	DARK	0.3306144201	.
112L2	 46	4	3781.00	 823.180	 411.590	 1309.863	DARK	0.1921596572	.
112L2	 47	4	3681.25	1353.117	 676.559	 2153.112	DARK	0.0095806649	**
112L2	 48	4	2787.75	 948.145	 474.072	 1508.710	DARK	0.6277640757	.
112L2	 49	4	3952.75	 884.565	 442.282	 1407.540	DARK	0.1511884836	.
112L2	 50	4	3608.75	1570.214	 785.107	 2498.561	LIGHT	0.4611613368	.
112L2	 51	4	2289.75	2414.503	1207.251	 3842.013	LIGHT	0.6706755560	.
112L2	 52	4	1943.25	1443.963	 721.981	 2297.667	LIGHT	0.0782459851	.
112L2	 53	4	2913.50	1262.558	 631.279	 2009.011	LIGHT	0.1097165770	.
112L2	 54	4	1951.50	1235.314	 617.657	 1965.660	LIGHT	0.4014298093	.
112L2	 55	4	5228.50	5974.934	2987.467	 9507.453	LIGHT	0.2511304562	.
112L2	 56	4	2558.25	1958.410	 979.205	 3116.267	LIGHT	0.0720549130	.
112L2	 57	4	3730.75	3133.911	1566.956	 4986.752	LIGHT	0.1883446941	.
112L2	 58	4	2798.00	2709.476	1354.738	 4311.381	LIGHT	0.1751160702	.
112L2	 59	4	3336.00	2348.418	1174.209	 3736.858	LIGHT	0.0173058988	*
112L2	 60	4	2375.00	1176.881	 588.441	 1872.681	LIGHT	0.0088148090	**
112L2	 61	4	2376.75	2078.094	1039.047	 3306.711	LIGHT	0.0975423801	.
112L2	 62	4	3368.00	3059.612	1529.806	 4868.526	LIGHT	0.2087013504	.
112L2	 63	4	2466.25	2659.249	1329.624	 4231.458	LIGHT	0.3459440525	.
112L2	 64	4	4472.25	1542.822	 771.411	 2454.975	LIGHT	0.0036528020	***
112L2	 65	4	4132.75	1084.591	 542.295	 1725.826	LIGHT	0.0018652880	***
112L2	 66	4	3361.00	4687.868	2343.934	 7459.444	LIGHT	0.4570897534	.
112L2	 67	4	3564.75	2802.630	1401.315	 4459.610	LIGHT	0.0758578655	.
112L2	 68	4	2203.00	1558.285	 779.143	 2479.579	LIGHT	0.2150793778	.
112L2	 69	4	2612.25	 972.800	 486.400	 1547.942	DARK	0.0233529059	*
112L2	 70	4	1922.50	1135.784	 567.892	 1807.287	DARK	0.4861280164	.
112L2	 71	4	3190.25	1233.716	 616.858	 1963.118	DARK	0.3254341538	.
112L2	 72	4	1511.00	1361.209	 680.604	 2165.987	DARK	0.2693050914	.
112L2	 73	4	3361.25	2154.712	1077.356	 3428.628	DARK	0.1790189088	.
112L2	 74	4	3090.75	2232.744	1116.372	 3552.794	DARK	0.3242619442	.
112L2	 75	4	3020.00	1270.680	 635.340	 2021.935	DARK	0.5669933228	.
112L2	 76	4	4585.25	2194.158	1097.079	 3491.395	DARK	0.1158569430	.
112L2	 77	4	3714.75	1202.786	 601.393	 1913.901	DARK	0.0479267954	*
112L2	 78	4	4715.50	3133.471	1566.736	 4986.052	DARK	0.1584653134	.
112L2	 79	4	3858.00	4188.058	2094.029	 6664.135	DARK	0.5443922170	.
112L2	 80	4	2901.25	1828.447	 914.223	 2909.467	DARK	0.5967566238	.
112L2	 81	4	2924.25	1922.854	 961.427	 3059.690	DARK	0.2023258149	.
112L2	 82	4	4287.00	1368.063	 684.031	 2176.893	DARK	0.0085321874	**
112L2	 83	4	2878.00	 924.159	 462.080	 1470.543	DARK	0.0793564801	.
112L2	 84	4	4579.75	1911.655	 955.828	 3041.870	DARK	0.0113687073	*
112L2	 85	4	5406.25	3162.013	1581.007	 5031.468	DARK	0.0380718004	*
112L2	 86	4	3435.75	1790.123	 895.061	 2848.485	DARK	0.2119776267	.
112L2	 87	4	4928.00	1804.457	 902.228	 2871.293	LIGHT	0.1203447356	.
112L2	 88	4	1505.75	 667.020	 333.510	 1061.378	LIGHT	0.8993054842	.
112L2	 89	4	2739.00	 637.028	 318.514	 1013.654	LIGHT	0.2688222023	.
112L2	 90	4	5422.50	1731.840	 865.920	 2755.744	LIGHT	0.0004297725	****
112L2	 91	4	3148.50	2469.023	1234.512	 3928.767	LIGHT	0.6607046267	.
112L2	 92	4	3446.75	1711.961	 855.980	 2724.112	LIGHT	0.0023525079	***
112L2	 93	4	3033.25	1268.829	 634.415	 2018.990	LIGHT	0.0006527235	****
112L2	 94	4	4967.00	2665.863	1332.932	 4241.983	LIGHT	0.0399224102	*
112L2	 95	4	5142.25	3049.314	1524.657	 4852.139	LIGHT	0.0606919175	.
112L2	 96	4	5988.75	3094.914	1547.457	 4924.699	LIGHT	0.0389189198	*
112L2	 97	4	6297.75	4869.776	2434.888	 7748.900	LIGHT	0.0860228229	.
112L2	 98	4	5453.00	3141.483	1570.741	 4998.800	LIGHT	0.0343860733	*
112L2	 99	4	6557.00	5783.318	2891.659	 9202.549	LIGHT	0.1270619567	.
112L2	100	4	6458.25	4656.753	2328.376	 7409.933	LIGHT	0.0633084882	.
112L2	101	4	3265.00	2051.072	1025.536	 3263.714	LIGHT	0.0729626566	.
112L2	102	4	2766.75	1922.688	 961.344	 3059.426	LIGHT	0.4901536102	.
112L2	103	4	2989.75	2155.442	1077.721	 3429.789	LIGHT	0.8275807540	.
112L2	104	4	2909.00	2913.883	1456.941	 4636.638	LIGHT	0.4331967820	.
112L2	105	4	5361.00	2891.055	1445.527	 4600.314	DARK	0.1467624453	.
112L2	106	4	4887.50	3538.841	1769.420	 5631.086	DARK	0.1941043856	.
112L2	107	4	4811.00	3641.718	1820.859	 5794.785	DARK	0.1170647959	.
112L2	108	4	3897.50	2111.480	1055.740	 3359.837	DARK	0.0471972226	*
112L2	109	4	2872.00	1302.658	 651.329	 2072.820	DARK	0.0816409526	.
112L2	110	4	2296.50	 484.712	 242.356	  771.285	DARK	0.4793161903	.
112L2	111	4	5094.75	3152.628	1576.314	 5016.534	DARK	0.0461561558	*
WT	  1	4	2079.25	 765.679	 382.840	 1218.367	DARK	0.5781775853	.
WT	  2	4	3797.75	2466.428	1233.214	 3924.638	DARK	0.5283656051	.
WT	  3	4	3414.75	2009.308	1004.654	 3197.258	DARK	0.6114507270	.
WT	  4	4	2991.75	3049.313	1524.656	 4852.137	DARK	0.8322872567	.
WT	  5	4	2058.50	1196.325	 598.163	 1903.620	DARK	0.0967382494	.
WT	  6	4	2078.25	1959.589	 979.794	 3118.143	DARK	0.2920685035	.
WT	  7	4	3354.50	2907.479	1453.739	 4626.448	DARK	0.6807982577	.
WT	  8	4	1877.00	1500.464	 750.232	 2387.574	DARK	0.8613595660	.
WT	  9	4	1315.25	1374.051	 687.025	 2186.421	DARK	0.6550311677	.
WT	 10	4	1491.25	1087.656	 543.828	 1730.704	DARK	0.2880271845	.
