Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 26	4	 24097.25	 2927.559	 1463.779	 4658.399	LIGHT	0.25977709	.
112L2	 27	4	 24813.00	 3043.658	 1521.829	 4843.139	LIGHT	0.23496841	.
112L2	 28	4	 25631.25	 2913.720	 1456.860	 4636.379	LIGHT	0.22537383	.
112L2	 29	4	 26524.25	 3204.607	 1602.304	 5099.245	LIGHT	0.21348109	.
112L2	 30	4	 27373.50	 3328.054	 1664.027	 5295.676	LIGHT	0.21561801	.
112L2	 31	4	 28468.25	 3272.616	 1636.308	 5207.462	LIGHT	0.20702723	.
112L2	 32	4	 29636.00	 3227.573	 1613.787	 5135.789	DARK	0.19886982	.
112L2	 33	4	 30949.25	 3301.737	 1650.868	 5253.800	DARK	0.18652942	.
112L2	 34	4	 31884.50	 4124.543	 2062.271	 6563.068	DARK	0.20103339	.
112L2	 35	4	 32530.50	 4125.486	 2062.743	 6564.569	DARK	0.22524569	.
112L2	 36	4	 33356.25	 3887.345	 1943.672	 6185.633	DARK	0.26025619	.
112L2	 37	4	 34022.25	 3817.145	 1908.572	 6073.929	DARK	0.28354969	.
112L2	 38	4	 34784.00	 3701.441	 1850.721	 5889.819	DARK	0.30160266	.
112L2	 39	4	 35798.75	 3681.460	 1840.730	 5858.024	DARK	0.29423342	.
112L2	 40	4	 36749.75	 3457.648	 1728.824	 5501.890	DARK	0.30914063	.
112L2	 41	4	 37539.75	 3662.246	 1831.123	 5827.450	DARK	0.33074565	.
112L2	 42	4	 38481.00	 4007.289	 2003.645	 6376.491	DARK	0.35548904	.
112L2	 43	4	 39919.00	 4287.040	 2143.520	 6821.637	DARK	0.39081409	.
112L2	 44	4	 40934.50	 4830.753	 2415.376	 7686.806	DARK	0.40204176	.
112L2	 45	4	 41783.75	 4981.959	 2490.980	 7927.409	DARK	0.41592662	.
112L2	 46	4	 42842.00	 5179.238	 2589.619	 8241.323	DARK	0.40061819	.
112L2	 47	4	 43918.75	 5544.878	 2772.439	 8823.138	DARK	0.38200581	.
112L2	 48	4	 45042.50	 5580.814	 2790.407	 8880.320	DARK	0.37084914	.
112L2	 49	4	 46450.25	 5711.878	 2855.939	 9088.873	DARK	0.33853133	.
112L2	 50	4	 47457.00	 5984.067	 2992.034	 9521.987	LIGHT	0.33858529	.
112L2	 51	4	 48336.00	 6239.602	 3119.801	 9928.600	LIGHT	0.32908923	.
112L2	 52	4	 49273.25	 6719.086	 3359.543	10691.565	LIGHT	0.30335047	.
112L2	 53	4	 50455.00	 7299.947	 3649.974	11615.845	LIGHT	0.27830105	.
112L2	 54	4	 51292.75	 7862.977	 3931.488	12511.751	LIGHT	0.26634842	.
112L2	 55	4	 52272.75	 8260.100	 4130.050	13143.663	LIGHT	0.25928595	.
112L2	 56	4	 53118.50	 8419.650	 4209.825	13397.541	LIGHT	0.24351090	.
112L2	 57	4	 54343.50	 8687.649	 4343.825	13823.988	LIGHT	0.21915028	.
112L2	 58	4	 55308.50	 9419.818	 4709.909	14989.033	LIGHT	0.21130029	.
112L2	 59	4	 56264.00	 9764.914	 4882.457	15538.157	LIGHT	0.19590270	.
112L2	 60	4	 57135.00	10049.624	 5024.812	15991.195	LIGHT	0.18362653	.
112L2	 61	4	 57872.75	10211.293	 5105.646	16248.445	LIGHT	0.17348244	.
112L2	 62	4	 58675.00	10629.552	 5314.776	16913.989	LIGHT	0.17320537	.
112L2	 63	4	 59379.75	10970.922	 5485.461	17457.185	LIGHT	0.16733597	.
112L2	 64	4	 60500.75	11185.546	 5592.773	17798.699	LIGHT	0.15591709	.
112L2	 65	4	 61526.25	11197.614	 5598.807	17817.903	LIGHT	0.14543659	.
112L2	 66	4	 62314.75	11974.848	 5987.424	19054.655	LIGHT	0.15492527	.
112L2	 67	4	 63356.75	12193.812	 6096.906	19403.075	LIGHT	0.14463838	.
112L2	 68	4	 64155.75	12293.258	 6146.629	19561.316	LIGHT	0.14166477	.
112L2	 69	4	 65051.50	12226.095	 6113.047	19454.445	DARK	0.13941028	.
112L2	 70	4	 65868.00	12317.127	 6158.563	19599.297	DARK	0.13825376	.
112L2	 71	4	 66762.50	12386.039	 6193.020	19708.952	DARK	0.13274021	.
112L2	 72	4	 67238.50	12540.199	 6270.100	19954.255	DARK	0.13864677	.
112L2	 73	4	 68088.75	12633.100	 6316.550	20102.081	DARK	0.13840745	.
112L2	 74	4	 68848.75	12967.192	 6483.596	20633.697	DARK	0.13959428	.
112L2	 75	4	 69509.75	13155.136	 6577.568	20932.758	DARK	0.14906344	.
112L2	 76	4	 70383.00	13329.746	 6664.873	21210.601	DARK	0.14724051	.
112L2	 77	4	 71447.50	13346.328	 6673.164	21236.986	DARK	0.14005528	.
112L2	 78	4	 72501.75	13087.846	 6543.923	20825.684	DARK	0.13958446	.
112L2	 79	4	 73558.75	13034.640	 6517.320	20741.022	DARK	0.13734518	.
112L2	 80	4	 74764.00	13059.177	 6529.588	20780.064	DARK	0.13252036	.
112L2	 81	4	 75870.50	12955.994	 6477.997	20615.877	DARK	0.13273364	.
112L2	 82	4	 77055.50	13032.300	 6516.150	20737.298	DARK	0.12270193	.
112L2	 83	4	 77974.50	12953.950	 6476.975	20612.625	DARK	0.11883952	.
112L2	 84	4	 79150.50	12656.249	 6328.125	20138.917	DARK	0.11248608	.
112L2	 85	4	 80412.75	12658.978	 6329.489	20143.260	DARK	0.10608905	.
