Genotype	TimePoint	N	PerF	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 17	4	 957.50	 325.098	162.549	 517.304	LIGHT	0.2913916283	.
112L2	 18	4	 889.00	 649.927	324.963	1034.178	LIGHT	0.6147888140	.
112L2	 19	4	 930.00	 616.421	308.210	 980.863	LIGHT	0.4696673233	.
112L2	 20	4	 817.75	 355.612	177.806	 565.859	LIGHT	0.3513851933	.
112L2	 21	4	1032.00	 351.822	175.911	 559.827	LIGHT	0.1176205579	.
112L2	 22	4	1080.00	 576.706	288.353	 917.668	LIGHT	0.1092561340	.
112L2	 23	4	 884.25	 226.982	113.491	 361.179	LIGHT	0.5593373799	.
112L2	 24	4	 712.25	 469.689	234.844	 747.380	LIGHT	0.7733329956	.
112L2	 25	4	 857.00	 643.302	321.651	1023.638	LIGHT	0.5419670527	.
112L2	 26	4	 990.75	 559.649	279.824	 890.526	LIGHT	0.3264367675	.
112L2	 27	4	 715.75	 167.440	 83.720	 266.435	LIGHT	0.0340618585	*
112L2	 28	4	 818.25	 309.979	154.989	 493.246	LIGHT	0.5113849361	.
112L2	 29	4	 893.00	 649.662	324.831	1033.757	LIGHT	0.2008076392	.
112L2	 30	4	 849.25	 463.166	231.583	 737.001	LIGHT	0.4530758278	.
112L2	 31	4	1094.75	 555.637	277.819	 884.143	LIGHT	0.5114665070	.
112L2	 32	4	1167.75	 331.529	165.765	 527.537	DARK	0.2113965879	.
112L2	 33	4	1313.25	 145.946	 72.973	 232.233	DARK	0.1202793293	.
112L2	 34	4	 935.25	1051.775	525.888	1673.609	DARK	0.7865137651	.
112L2	 35	4	 646.00	 386.684	193.342	 615.301	DARK	0.2749246086	.
112L2	 36	4	 825.75	 367.892	183.946	 585.398	DARK	0.7400836348	.
112L2	 37	4	 666.00	 231.991	115.996	 369.150	DARK	0.5332455309	.
112L2	 38	4	 761.75	 126.012	 63.006	 200.513	DARK	0.5045231131	.
112L2	 39	4	1014.75	 213.248	106.624	 339.326	DARK	0.5547629291	.
112L2	 40	4	 951.00	 314.923	157.462	 501.113	DARK	0.6856819251	.
112L2	 41	4	 790.00	 382.283	191.142	 608.298	DARK	0.7280849110	.
112L2	 42	4	 941.25	 411.173	205.586	 654.267	DARK	0.2606480275	.
112L2	 43	4	1438.00	 336.920	168.460	 536.115	DARK	0.1547564335	.
112L2	 44	4	1015.50	 563.741	281.871	 897.038	DARK	0.2167617464	.
112L2	 45	4	 849.25	 475.307	237.654	 756.320	DARK	0.8224098906	.
112L2	 46	4	1058.25	 366.492	183.246	 583.170	DARK	0.4745867836	.
112L2	 47	4	1076.75	 367.738	183.869	 585.153	DARK	0.0984123593	.
112L2	 48	4	1123.75	 366.506	183.253	 583.193	DARK	0.3011533120	.
112L2	 49	4	1407.75	 212.629	106.314	 338.340	DARK	0.0804772613	.
112L2	 50	4	1006.75	 291.003	145.502	 463.051	LIGHT	0.7723008726	.
112L2	 51	4	 879.00	 542.671	271.336	 863.511	LIGHT	0.4587067223	.
112L2	 52	4	 937.25	 537.108	268.554	 854.659	LIGHT	0.0377155237	*
112L2	 53	4	1181.75	 669.964	334.982	1066.062	LIGHT	0.1055732715	.
112L2	 54	4	 837.75	 687.980	343.990	1094.729	LIGHT	0.4360747220	.
112L2	 55	4	 980.00	 519.566	259.783	 826.745	LIGHT	0.2703830527	.
112L2	 56	4	 845.75	 650.419	325.210	1034.962	LIGHT	0.2277144997	.
112L2	 57	4	1225.00	 569.441	284.720	 906.107	LIGHT	0.1143056196	.
112L2	 58	4	 965.00	 737.755	368.877	1173.932	LIGHT	0.1803308248	.
112L2	 59	4	 955.50	 500.497	250.248	 796.402	LIGHT	0.0276461303	*
112L2	 60	4	 871.00	 285.845	142.922	 454.843	LIGHT	0.0059636729	**
112L2	 61	4	 737.75	 256.300	128.150	 407.830	LIGHT	0.0338279730	*
112L2	 62	4	 802.25	 490.016	245.008	 779.725	LIGHT	0.3448451187	.
112L2	 63	4	 704.75	 398.599	199.299	 634.259	LIGHT	0.1043255228	.
112L2	 64	4	1121.00	 235.253	117.627	 374.340	LIGHT	0.0159297837	*
112L2	 65	4	1025.50	 191.980	 95.990	 305.483	LIGHT	0.0047752121	***
112L2	 66	4	 788.50	 783.596	391.798	1246.876	LIGHT	0.5741345190	.
112L2	 67	4	1042.00	 397.480	198.740	 632.479	LIGHT	0.0209941276	*
112L2	 68	4	 799.00	 248.048	124.024	 394.700	LIGHT	0.0893241515	.
112L2	 69	4	 895.75	 500.497	250.248	 796.402	DARK	0.0411487398	*
112L2	 70	4	 816.50	 393.785	196.893	 626.601	DARK	0.2104262595	.
112L2	 71	4	 894.50	 163.598	 81.799	 260.321	DARK	0.2782117915	.
112L2	 72	4	 476.00	 330.715	165.358	 526.242	DARK	0.1254854617	.
112L2	 73	4	 850.25	 344.229	172.114	 547.745	DARK	0.2682954048	.
112L2	 74	4	 760.00	 357.257	178.629	 568.476	DARK	0.1019227293	.
112L2	 75	4	 661.00	 202.654	101.327	 322.468	DARK	0.6057633093	.
112L2	 76	4	 873.25	 463.373	231.686	 737.329	DARK	0.6784798002	.
112L2	 77	4	1064.50	 200.174	100.087	 318.522	DARK	0.0502345632	.
112L2	 78	4	1054.25	 502.408	251.204	 799.444	DARK	0.6056446360	.
112L2	 79	4	1057.00	 746.220	373.110	1187.403	DARK	0.7457387127	.
112L2	 80	4	1205.25	 269.709	134.854	 429.167	DARK	0.4603174449	.
112L2	 81	4	1106.50	 458.781	229.391	 730.024	DARK	0.1828474798	.
112L2	 82	4	1185.00	 146.840	 73.420	 233.655	DARK	0.0297106632	*
112L2	 83	4	 919.00	 569.408	284.704	 906.055	DARK	0.5590433061	.
112L2	 84	4	1176.00	 386.829	193.414	 615.531	DARK	0.0871939189	.
112L2	 85	4	1262.25	 261.972	130.986	 416.857	DARK	0.0478711606	*
112L2	 86	4	1108.00	 422.952	211.476	 673.012	DARK	0.2887394507	.
112L2	 87	4	1136.75	 259.194	129.597	 412.436	LIGHT	0.1343805504	.
112L2	 88	4	 809.50	  90.205	 45.103	 143.537	LIGHT	0.5116681065	.
112L2	 89	4	1036.00	 217.630	108.815	 346.297	LIGHT	0.3960860101	.
112L2	 90	4	1288.25	 377.347	188.674	 600.444	LIGHT	0.0015571054	***
112L2	 91	4	 860.75	 594.112	297.056	 945.365	LIGHT	0.9459638992	.
112L2	 92	4	1042.00	 276.906	138.453	 440.618	LIGHT	0.0006548832	****
112L2	 93	4	 914.75	 275.438	137.719	 438.284	LIGHT	0.0017975967	***
112L2	 94	4	1239.00	 514.846	257.423	 819.234	LIGHT	0.1408533440	.
112L2	 95	4	1230.25	 713.003	356.502	1134.547	LIGHT	0.2081163256	.
112L2	 96	4	1228.50	 269.781	134.890	 429.281	LIGHT	0.0182898986	*
112L2	 97	4	1257.00	 502.268	251.134	 799.220	LIGHT	0.1740370609	.
112L2	 98	4	1229.00	 546.163	273.081	 869.067	LIGHT	0.0368096018	*
112L2	 99	4	1221.50	 403.239	201.619	 641.643	LIGHT	0.1063141063	.
112L2	100	4	1208.25	 556.985	278.492	 886.287	LIGHT	0.0716926392	.
112L2	101	4	1155.50	 576.949	288.474	 918.054	LIGHT	0.0469348986	*
112L2	102	4	 860.25	 363.691	181.845	 578.713	LIGHT	0.0959508965	.
112L2	103	4	1018.75	 670.283	335.142	1066.570	LIGHT	0.6799729905	.
112L2	104	4	 709.50	 498.953	249.476	 793.945	LIGHT	0.6242844355	.
