Genotype	TimePoint	N	XT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 46	4	 6480.25	 2001.729	1000.864	 3185.197	DARK	0.5507169261	.
112L2	 47	4	 6685.25	 2774.455	1387.228	 4414.778	DARK	0.3039382476	.
112L2	 48	4	 6545.00	 3319.114	1659.557	 5281.452	DARK	0.7432644618	.
112L2	 49	4	 8646.75	  888.883	 444.442	 1414.412	DARK	0.0691316635	.
112L2	 50	4	 6024.50	 1925.138	 962.569	 3063.324	LIGHT	0.5801544889	.
112L2	 51	4	 4217.50	 4219.622	2109.811	 6714.360	LIGHT	0.9931243776	.
112L2	 52	4	 8618.00	 9894.195	4947.097	15743.872	LIGHT	0.2012041879	.
112L2	 53	4	12080.25	11859.879	5929.939	18871.713	LIGHT	0.1457518318	.
112L2	 54	4	 6085.75	 5903.884	2951.942	 9394.397	LIGHT	0.4930927167	.
112L2	 55	4	 9098.75	 7816.007	3908.003	12437.011	LIGHT	0.1981472446	.
112L2	 56	4	 5819.75	 5119.047	2559.524	 8145.546	LIGHT	0.2372341562	.
112L2	 57	4	 6938.00	 5794.697	2897.349	 9220.656	LIGHT	0.3975742039	.
112L2	 58	4	 4713.25	 4807.643	2403.821	 7650.032	LIGHT	0.4608435314	.
112L2	 59	4	 5510.25	 3696.102	1848.051	 5881.323	LIGHT	0.0162107223	*
112L2	 60	4	 4209.00	 2906.303	1453.151	 4624.576	LIGHT	0.0523868995	.
112L2	 61	4	 3164.75	 2292.678	1146.339	 3648.162	LIGHT	0.1301195925	.
112L2	 62	4	 4193.50	 3558.331	1779.166	 5662.099	LIGHT	0.5901162020	.
112L2	 63	4	 3284.50	 2988.051	1494.026	 4754.657	LIGHT	0.2397889095	.
112L2	 64	4	 6105.25	 1864.338	 932.169	 2966.578	LIGHT	0.0132338738	*
112L2	 65	4	 6538.00	 2181.247	1090.624	 3470.851	LIGHT	0.0089001516	**
112L2	 66	4	 4232.50	 5626.177	2813.089	 8952.503	LIGHT	0.5055197169	.
112L2	 67	4	 4672.75	 3113.072	1556.536	 4953.592	LIGHT	0.1585185617	.
112L2	 68	4	 3061.00	 1841.375	 920.688	 2930.039	LIGHT	0.4218481425	.
112L2	 69	4	 4259.50	 2619.972	1309.986	 4168.960	DARK	0.0015547370	***
112L2	 70	4	 4028.25	 2657.925	1328.963	 4229.352	DARK	0.0567226387	.
112L2	 71	4	 7011.00	 2443.059	1221.529	 3887.452	DARK	0.5456141909	.
112L2	 72	4	 2760.50	 2595.622	1297.811	 4130.214	DARK	0.1189414928	.
112L2	 73	4	 5246.00	 3718.181	1859.090	 5916.455	DARK	0.7126213854	.
112L2	 74	4	 4551.75	 2303.275	1151.637	 3665.024	DARK	0.4295119142	.
112L2	 75	4	 4346.00	 1932.079	 966.040	 3074.369	DARK	0.4882497198	.
112L2	 76	4	 6846.25	 2828.213	1414.106	 4500.317	DARK	0.6631342028	.
112L2	 77	4	 7530.00	 2349.163	1174.581	 3738.042	DARK	0.1129216251	.
112L2	 78	4	 8602.75	 3515.526	1757.763	 5593.987	DARK	0.1399847702	.
112L2	 79	4	 6875.25	 4700.015	2350.008	 7478.773	DARK	0.8232064948	.
112L2	 80	4	 5808.00	 1906.364	 953.182	 3033.451	DARK	0.8193074455	.
112L2	 81	4	 6397.00	 2962.547	1481.273	 4714.073	DARK	0.0749771274	.
112L2	 82	4	 8675.25	 1311.336	 655.668	 2086.627	DARK	0.0398603008	*
112L2	 83	4	 6610.75	 5979.672	2989.836	 9514.993	DARK	0.4708836095	.
112L2	 84	4	 6741.25	 2975.484	1487.742	 4734.658	DARK	0.0903981888	.
112L2	 85	4	 9121.25	 2283.365	1141.682	 3633.343	DARK	0.0887772359	.
112L2	 86	4	 7937.75	 4585.391	2292.695	 7296.380	DARK	0.6174909217	.
112L2	 87	4	 6754.75	 1958.679	 979.339	 3116.695	LIGHT	0.7855585366	.
112L2	 88	4	 3044.00	 1299.083	 649.542	 2067.131	LIGHT	0.6660897598	.
112L2	 89	4	 5415.00	 2280.516	1140.258	 3628.811	LIGHT	0.7670048630	.
112L2	 90	4	10693.75	 3589.430	1794.715	 5711.583	LIGHT	0.0006441071	****
