Genotype	TimePoint	N	CumYT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	  9	4	 34993.25	  9894.601	 4947.300	 15744.518	DARK	0.610963026	.
112L2	 10	4	 37753.00	 11243.425	 5621.712	 17890.797	DARK	0.694727954	.
112L2	 11	4	 41239.00	 11832.116	 5916.058	 18827.537	DARK	0.582390687	.
112L2	 12	4	 44962.50	 13941.167	 6970.583	 22183.508	DARK	0.587100096	.
112L2	 13	4	 48195.75	 13909.102	 6954.551	 22132.485	LIGHT	0.592669954	.
112L2	 14	4	 51485.50	 13072.628	 6536.314	 20801.468	LIGHT	0.539306307	.
112L2	 15	4	 54048.25	 12109.052	 6054.526	 19268.203	LIGHT	0.545419355	.
112L2	 16	4	 56590.00	 10185.088	 5092.544	 16206.748	LIGHT	0.458077086	.
112L2	 17	4	 60433.00	 10487.374	 5243.687	 16687.752	LIGHT	0.399868016	.
112L2	 18	4	 64737.50	 10184.898	 5092.449	 16206.445	LIGHT	0.336465526	.
112L2	 19	4	 69850.25	 11554.173	 5777.087	 18385.268	LIGHT	0.246591215	.
112L2	 20	4	 75745.25	  9428.103	 4714.052	 15002.216	LIGHT	0.164440648	.
112L2	 21	4	 82031.75	  9877.883	 4938.941	 15717.916	LIGHT	0.113006335	.
112L2	 22	4	 89771.50	  7185.106	 3592.553	 11433.107	LIGHT	0.056638700	.
112L2	 23	4	 96694.50	  6890.396	 3445.198	 10964.158	LIGHT	0.045956804	*
112L2	 24	4	100733.25	  7283.005	 3641.502	 11588.885	LIGHT	0.044028308	*
112L2	 25	4	106035.75	 10099.686	 5049.843	 16070.854	LIGHT	0.042840096	*
112L2	 26	4	110312.75	 12818.333	 6409.167	 20396.829	LIGHT	0.046612055	*
112L2	 27	4	113227.50	 12898.914	 6449.457	 20525.050	LIGHT	0.046313633	*
112L2	 28	4	116130.75	 12616.778	 6308.389	 20076.110	LIGHT	0.046457763	*
112L2	 29	4	120243.00	 13797.193	 6898.596	 21954.412	LIGHT	0.056770914	.
112L2	 30	4	123826.75	 12727.922	 6363.961	 20252.963	LIGHT	0.061085106	.
112L2	 31	4	129119.50	 13867.870	 6933.935	 22066.876	LIGHT	0.052897693	.
112L2	 32	4	134818.25	 14256.929	 7128.465	 22685.956	DARK	0.055361850	.
112L2	 33	4	140400.25	 14927.659	 7463.830	 23753.237	DARK	0.050384907	.
112L2	 34	4	145740.00	 20769.571	10384.785	 33049.022	DARK	0.055894827	.
112L2	 35	4	148064.00	 20537.343	10268.672	 32679.496	DARK	0.062678557	.
112L2	 36	4	151896.25	 20958.171	10479.085	 33349.126	DARK	0.070683967	.
112L2	 37	4	156189.00	 21988.860	10994.430	 34989.183	DARK	0.078815984	.
112L2	 38	4	159234.50	 21782.419	10891.210	 34660.690	DARK	0.089397595	.
112L2	 39	4	163772.00	 20920.389	10460.194	 33289.007	DARK	0.082401294	.
112L2	 40	4	167815.75	 20148.291	10074.146	 32060.427	DARK	0.086148221	.
112L2	 41	4	172016.50	 22826.494	11413.247	 36322.046	DARK	0.090431914	.
112L2	 42	4	177059.75	 26095.939	13047.969	 41524.462	DARK	0.087280972	.
112L2	 43	4	184694.00	 26829.185	13414.592	 42691.220	DARK	0.087201518	.
112L2	 44	4	189413.50	 29005.394	14502.697	 46154.055	DARK	0.085450399	.
112L2	 45	4	194103.25	 28648.199	14324.099	 45585.677	DARK	0.087766545	.
112L2	 46	4	198850.75	 27937.125	13968.563	 44454.201	DARK	0.082967136	.
112L2	 47	4	203444.00	 29518.646	14759.323	 46970.753	DARK	0.076596168	.
112L2	 48	4	207049.75	 30719.101	15359.550	 48880.944	DARK	0.079950475	.
112L2	 49	4	211917.75	 31195.029	15597.515	 49638.253	DARK	0.077441272	.
112L2	 50	4	216509.00	 32358.476	16179.238	 51489.557	LIGHT	0.078394549	.
112L2	 51	4	219510.00	 33285.319	16642.659	 52964.370	LIGHT	0.080521404	.
112L2	 52	4	222125.75	 34588.286	17294.143	 55037.681	LIGHT	0.080099390	.
112L2	 53	4	225924.50	 35461.373	17730.686	 56426.957	LIGHT	0.075118617	.
112L2	 54	4	228553.25	 35829.364	17914.682	 57012.513	LIGHT	0.075908792	.
112L2	 55	4	234642.75	 35366.148	17683.074	 56275.434	LIGHT	0.066775176	.
112L2	 56	4	237879.75	 34936.366	17468.183	 55591.554	LIGHT	0.061368267	.
112L2	 57	4	242563.00	 37732.441	18866.220	 60040.734	LIGHT	0.057103460	.
112L2	 58	4	246109.50	 40325.200	20162.600	 64166.391	LIGHT	0.055032244	.
