Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 16	4	105778.25	 25538.745	12769.373	 40637.843	LIGHT	0.45775217	.
112L2	 17	4	110888.25	 25241.611	12620.805	 40165.036	LIGHT	0.48207889	.
112L2	 18	4	116372.50	 29463.721	14731.860	 46883.354	LIGHT	0.50075798	.
112L2	 19	4	122306.00	 33858.926	16929.463	 53877.107	LIGHT	0.44839214	.
112L2	 20	4	129057.25	 33076.934	16538.467	 52632.783	LIGHT	0.35135256	.
112L2	 21	4	136697.00	 34202.354	17101.177	 54423.578	LIGHT	0.27518107	.
112L2	 22	4	145641.00	 35217.576	17608.788	 56039.022	LIGHT	0.17747942	.
112L2	 23	4	153062.25	 35288.047	17644.023	 56151.157	LIGHT	0.15384769	.
112L2	 24	4	157679.75	 35941.041	17970.520	 57190.217	LIGHT	0.21410099	.
112L2	 25	4	163440.75	 38991.409	19495.704	 62044.032	LIGHT	0.22193179	.
112L2	 26	4	168270.50	 41755.038	20877.519	 66441.583	LIGHT	0.23710153	.
112L2	 27	4	171400.00	 41633.488	20816.744	 66248.170	LIGHT	0.23003214	.
112L2	 28	4	175121.25	 41649.709	20824.854	 66273.981	LIGHT	0.21501778	.
112L2	 29	4	180852.00	 45868.007	22934.003	 72986.234	LIGHT	0.22674860	.
112L2	 30	4	186015.25	 45110.153	22555.077	 71780.320	LIGHT	0.23575585	.
112L2	 31	4	191733.50	 44651.282	22325.641	 71050.154	LIGHT	0.21881749	.
112L2	 32	4	198432.50	 43384.598	21692.299	 69034.576	DARK	0.22598878	.
112L2	 33	4	206560.25	 42911.554	21455.777	 68281.858	DARK	0.25792084	.
112L2	 34	4	213085.00	 52201.094	26100.547	 83063.589	DARK	0.37098868	.
112L2	 35	4	216098.00	 52887.175	26443.588	 84155.298	DARK	0.47235585	.
112L2	 36	4	221986.25	 53047.445	26523.722	 84410.323	DARK	0.54018087	.
112L2	 37	4	226804.50	 55161.479	27580.739	 87774.222	DARK	0.57555113	.
112L2	 38	4	232357.25	 54739.216	27369.608	 87102.307	DARK	0.63124254	.
112L2	 39	4	239511.00	 53470.310	26735.155	 85083.196	DARK	0.61449587	.
112L2	 40	4	247163.00	 51526.878	25763.439	 81990.761	DARK	0.59409250	.
112L2	 41	4	253471.50	 54753.416	27376.708	 87124.903	DARK	0.61727793	.
112L2	 42	4	260634.00	 59366.354	29683.177	 94465.118	DARK	0.60394786	.
112L2	 43	4	271671.00	 60452.492	30226.246	 96193.404	DARK	0.57372835	.
112L2	 44	4	277966.50	 63772.301	31886.150	101475.961	DARK	0.56800702	.
112L2	 45	4	284322.75	 64040.853	32020.426	101903.288	DARK	0.57172728	.
112L2	 46	4	290803.00	 62904.275	31452.137	100094.738	DARK	0.54534246	.
112L2	 47	4	297488.25	 65623.988	32811.994	104422.409	DARK	0.50961972	.
112L2	 48	4	304033.25	 68395.507	34197.753	108832.514	DARK	0.50742427	.
112L2	 49	4	312680.00	 68945.429	34472.714	109707.563	DARK	0.48547757	.
112L2	 50	4	318704.50	 68814.866	34407.433	109499.807	LIGHT	0.50875687	.
112L2	 51	4	322922.00	 69629.366	34814.683	110795.859	LIGHT	0.51929363	.
112L2	 52	4	331540.00	 79477.572	39738.786	126466.553	LIGHT	0.48357130	.
112L2	 53	4	343620.25	 91325.085	45662.543	145318.590	LIGHT	0.41559599	.
112L2	 54	4	349706.00	 96482.628	48241.314	153525.392	LIGHT	0.41178042	.
112L2	 55	4	358804.75	 97594.595	48797.298	155294.780	LIGHT	0.36951167	.
112L2	 56	4	364624.50	 98477.046	49238.523	156698.956	LIGHT	0.34401671	.
112L2	 57	4	371562.50	102930.278	51465.139	163785.041	LIGHT	0.32218766	.
112L2	 58	4	376275.75	107269.092	53634.546	170689.062	LIGHT	0.31891966	.
112L2	 59	4	381786.00	109524.878	54762.439	174278.521	LIGHT	0.29008694	.
112L2	 60	4	385995.00	112126.606	56063.303	178418.451	LIGHT	0.27719034	.
112L2	 61	4	389159.75	114385.803	57192.901	182013.338	LIGHT	0.27127739	.
112L2	 62	4	393353.25	117547.574	58773.787	187044.421	LIGHT	0.27249615	.
112L2	 63	4	396637.75	120462.873	60231.436	191683.312	LIGHT	0.27901084	.
112L2	 64	4	402743.00	121854.406	60927.203	193897.551	LIGHT	0.26325523	.
112L2	 65	4	409281.00	121536.878	60768.439	193392.294	LIGHT	0.23743839	.
112L2	 66	4	413513.50	126811.053	63405.526	201784.683	LIGHT	0.25012685	.
112L2	 67	4	418186.25	129670.778	64835.389	206335.144	LIGHT	0.25551242	.
112L2	 68	4	421247.25	130970.794	65485.397	208403.759	LIGHT	0.26514980	.
112L2	 69	4	425506.75	131111.603	65555.801	208627.818	DARK	0.28648832	.
112L2	 70	4	429535.00	130928.060	65464.030	208335.761	DARK	0.29809454	.
112L2	 71	4	436546.00	131206.245	65603.122	208778.414	DARK	0.28418504	.
112L2	 72	4	439306.50	132417.842	66208.921	210706.337	DARK	0.30546906	.
112L2	 73	4	444552.50	131340.037	65670.018	208991.308	DARK	0.31370818	.
112L2	 74	4	449104.25	132342.331	66171.165	210586.180	DARK	0.32865943	.
112L2	 75	4	453450.25	133470.473	66735.236	212381.306	DARK	0.35443967	.
112L2	 76	4	460296.50	133598.401	66799.201	212584.869	DARK	0.34557484	.
112L2	 77	4	467826.50	133218.030	66609.015	211979.614	DARK	0.32207698	.
112L2	 78	4	476429.25	131330.771	65665.385	208976.563	DARK	0.30448444	.
112L2	 79	4	483304.50	129274.357	64637.179	205704.350	DARK	0.29796238	.
