Genotype	TimePoint	N	PerA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 15	4	3713.25	4448.396	2224.198	 7078.390	LIGHT	0.7550901901	.
112L2	 16	4	2321.75	3203.197	1601.598	 5097.001	LIGHT	0.6025812086	.
112L2	 17	4	2962.25	1750.993	 875.496	 2786.220	LIGHT	0.3481876920	.
112L2	 18	4	3632.00	4052.468	2026.234	 6448.381	LIGHT	0.5666994850	.
112L2	 19	4	4335.25	4144.645	2072.323	 6595.056	LIGHT	0.3333281037	.
112L2	 20	4	4172.75	2919.499	1459.750	 4645.575	LIGHT	0.1605692332	.
112L2	 21	4	5307.50	2739.069	1369.535	 4358.470	LIGHT	0.0408307167	*
112L2	 22	4	6800.00	5924.272	2962.136	 9426.838	LIGHT	0.0783389453	.
112L2	 23	4	6243.25	5917.362	2958.681	 9415.844	LIGHT	0.2428294250	.
112L2	 24	4	3471.75	2441.434	1220.717	 3884.867	LIGHT	0.5917244704	.
112L2	 25	4	4904.00	4539.450	2269.725	 7223.278	LIGHT	0.2603794962	.
112L2	 26	4	3663.50	2719.128	1359.564	 4326.739	LIGHT	0.2331929934	.
112L2	 27	4	2413.75	2001.022	1000.511	 3184.072	LIGHT	0.1401268224	.
112L2	 28	4	2683.25	1296.793	 648.396	 2063.486	LIGHT	0.5389817616	.
112L2	 29	4	4247.50	3440.936	1720.468	 5475.297	LIGHT	0.1786995787	.
112L2	 30	4	3746.75	2590.147	1295.074	 4121.502	LIGHT	0.4023597228	.
112L2	 31	4	4573.00	3874.412	1937.206	 6165.053	LIGHT	0.3666799041	.
112L2	 32	4	3399.75	 958.090	 479.045	 1524.535	DARK	0.1518669108	.
112L2	 33	4	4598.75	 712.447	 356.224	 1133.662	DARK	0.6737061601	.
112L2	 34	4	4844.25	7971.038	3985.519	12683.700	DARK	0.9395944178	.
112L2	 35	4	1772.50	1482.581	 741.290	 2359.117	DARK	0.2621525671	.
112L2	 36	4	2487.75	1649.480	 824.740	 2624.691	DARK	0.6795507580	.
112L2	 37	4	2791.75	1480.338	 740.169	 2355.548	DARK	0.6052610431	.
112L2	 38	4	2774.75	1138.322	 569.161	 1811.324	DARK	0.3982413136	.
112L2	 39	4	4291.50	1866.796	 933.398	 2970.489	DARK	0.1995784986	.
112L2	 40	4	4141.25	 966.117	 483.059	 1537.308	DARK	0.6546182139	.
112L2	 41	4	2871.75	2389.243	1194.622	 3801.819	DARK	0.8468748666	.
112L2	 42	4	3284.50	2698.936	1349.468	 4294.610	DARK	0.6733825686	.
112L2	 43	4	5934.25	2873.082	1436.541	 4571.714	DARK	0.1822305932	.
112L2	 44	4	3542.75	2518.680	1259.340	 4007.783	DARK	0.4293984986	.
112L2	 45	4	3738.50	2512.359	1256.179	 3997.724	DARK	0.6290650393	.
112L2	 46	4	3562.50	1929.880	 964.940	 3070.869	DARK	0.5879698833	.
112L2	 47	4	4002.25	3249.978	1624.989	 5171.440	DARK	0.2352194407	.
112L2	 48	4	3733.50	2187.691	1093.846	 3481.105	DARK	0.5086916565	.
112L2	 49	4	4987.25	1180.707	 590.353	 1878.768	DARK	0.1158067265	.
112L2	 50	4	3503.50	1522.153	 761.076	 2422.085	LIGHT	0.9165323905	.
112L2	 51	4	2520.00	2626.031	1313.015	 4178.601	LIGHT	0.8161860038	.
112L2	 52	4	5422.00	7647.232	3823.616	12168.453	LIGHT	0.3002899014	.
112L2	 53	4	7662.50	9945.880	4972.940	15826.114	LIGHT	0.2507600106	.
112L2	 54	4	3793.00	4662.080	2331.040	 7418.410	LIGHT	0.4226236509	.
112L2	 55	4	6232.00	5620.606	2810.303	 8943.639	LIGHT	0.1493981029	.
112L2	 56	4	3936.25	3422.471	1711.235	 5445.915	LIGHT	0.1136133431	.
112L2	 57	4	4839.75	4563.496	2281.748	 7261.540	LIGHT	0.2446252912	.
112L2	 58	4	3434.00	4242.109	2121.054	 6750.142	LIGHT	0.3317023242	.
112L2	 59	4	3384.50	2880.788	1440.394	 4583.977	LIGHT	0.0441289903	*
112L2	 60	4	2776.25	1630.083	 815.041	 2593.825	LIGHT	0.0173847512	*
112L2	 61	4	2427.00	2080.959	1040.480	 3311.270	LIGHT	0.1002383893	.
112L2	 62	4	3391.25	3083.918	1541.959	 4907.201	LIGHT	0.2898069274	.
112L2	 63	4	2511.25	2655.890	1327.945	 4226.113	LIGHT	0.3007896408	.
112L2	 64	4	4330.75	1745.992	 872.996	 2778.263	LIGHT	0.0119474475	*
112L2	 65	4	4071.50	 943.775	 471.887	 1501.756	LIGHT	0.0015910268	***
112L2	 66	4	3408.75	4776.478	2388.239	 7600.443	LIGHT	0.5107294430	.
112L2	 67	4	3630.75	2842.036	1421.018	 4522.314	LIGHT	0.1328632363	.
112L2	 68	4	2262.00	1619.919	 809.959	 2577.652	LIGHT	0.2974187089	.
112L2	 69	4	2858.75	1289.579	 644.790	 2052.008	DARK	0.0004753912	****
112L2	 70	4	2080.00	1207.082	 603.541	 1920.737	DARK	0.0513188927	.
112L2	 71	4	3613.25	1347.172	 673.586	 2143.651	DARK	0.2711358376	.
112L2	 72	4	1301.25	1038.230	 519.115	 1652.055	DARK	0.0769079557	.
112L2	 73	4	3610.25	2358.386	1179.193	 3752.719	DARK	0.2618616740	.
112L2	 74	4	2897.50	1559.310	 779.655	 2481.211	DARK	0.2134980755	.
112L2	 75	4	2170.00	 574.210	 287.105	  913.696	DARK	0.5575860134	.
112L2	 76	4	3308.50	1721.190	 860.595	 2738.797	DARK	0.6456411558	.
112L2	 77	4	3148.00	 918.847	 459.423	 1462.090	DARK	0.2794446620	.
112L2	 78	4	4458.00	3831.678	1915.839	 6097.055	DARK	0.4610455013	.
112L2	 79	4	4404.75	4909.987	2454.994	 7812.885	DARK	0.6739210667	.
112L2	 80	4	3353.00	1537.759	 768.879	 2446.917	DARK	0.5041088712	.
112L2	 81	4	3614.25	2108.224	1054.112	 3354.656	DARK	0.1130249030	.
112L2	 82	4	4855.75	1849.338	 924.669	 2942.709	DARK	0.0268576859	*
112L2	 83	4	4021.00	4350.167	2175.084	 6922.087	DARK	0.4233721881	.
112L2	 84	4	5013.25	2339.947	1169.973	 3723.377	DARK	0.0199162160	*
112L2	 85	4	6108.50	2869.999	1435.000	 4566.810	DARK	0.0250086116	*
112L2	 86	4	4646.00	3355.463	1677.732	 5339.290	DARK	0.4129298521	.
112L2	 87	4	5079.75	1811.956	 905.978	 2883.227	LIGHT	0.1017425115	.
112L2	 88	4	1652.25	 791.209	 395.604	 1258.990	LIGHT	0.8248478644	.
112L2	 89	4	3137.75	 864.826	 432.413	 1376.131	LIGHT	0.5182742356	.
112L2	 90	4	4788.00	2037.134	1018.567	 3241.535	LIGHT	0.0048599566	***
112L2	 91	4	3299.75	2573.661	1286.831	 4095.270	LIGHT	0.8332806962	.
112L2	 92	4	4181.25	1704.687	 852.343	 2712.537	LIGHT	0.0006134508	****
112L2	 93	4	3476.50	1356.852	 678.426	 2159.054	LIGHT	0.0003661069	****
112L2	 94	4	5196.75	2806.179	1403.090	 4465.257	LIGHT	0.0763638368	.
112L2	 95	4	5233.50	3109.439	1554.719	 4947.811	LIGHT	0.0751393269	.
112L2	 96	4	5749.50	2486.675	1243.338	 3956.856	LIGHT	0.0391401895	*
112L2	 97	4	6445.00	4748.474	2374.237	 7555.881	LIGHT	0.0928134173	.
112L2	 98	4	5605.50	3205.269	1602.635	 5100.298	LIGHT	0.0328055816	*
112L2	 99	4	6701.50	5694.014	2847.007	 9060.447	LIGHT	0.0979021798	.
112L2	100	4	6743.00	5045.656	2522.828	 8028.765	LIGHT	0.0701453766	.
112L2	101	4	3625.75	2376.192	1188.096	 3781.051	LIGHT	0.0734492185	.
112L2	102	4	3030.00	1944.486	 972.243	 3094.111	LIGHT	0.3037197446	.
112L2	103	4	3444.50	2791.808	1395.904	 4442.390	LIGHT	0.8518311848	.
112L2	104	4	2984.00	2927.791	1463.895	 4658.769	LIGHT	0.5274982479	.
112L2	105	4	5526.50	2959.819	1479.909	 4709.732	DARK	0.3540188150	.
112L2	106	4	5259.00	3241.991	1620.996	 5158.731	DARK	0.7761797971	.
112L2	107	4	5348.75	3736.329	1868.164	 5945.333	DARK	0.1605732554	.
112L2	108	4	4246.75	1964.967	 982.483	 3126.701	DARK	0.0268429115	*
112L2	109	4	3126.25	1363.963	 681.982	 2170.370	DARK	0.4438441029	.
112L2	110	4	3096.75	 907.882	 453.941	 1444.643	DARK	0.7087569745	.
112L2	111	4	3764.75	2398.694	1199.347	 3816.858	DARK	0.2125372113	.
WT	  1	4	2711.50	1047.177	 523.588	 1666.292	DARK	0.5718848645	.
WT	  2	4	5584.50	2996.099	1498.049	 4767.461	DARK	0.1412943107	.
WT	  3	4	5247.00	3105.803	1552.902	 4942.026	DARK	0.1756129449	.
WT	  4	4	4409.00	4855.843	2427.922	 7726.730	DARK	0.6464045529	.
WT	  5	4	2725.00	1398.164	 699.082	 2224.791	DARK	0.1942557379	.
WT	  6	4	2197.50	1903.264	 951.632	 3028.518	DARK	0.1292441617	.
WT	  7	4	3676.50	2689.188	1344.594	 4279.098	DARK	0.4153480754	.
WT	  8	4	2515.00	2106.337	1053.169	 3351.653	DARK	0.8933541842	.
WT	  9	4	1742.75	1622.083	 811.041	 2581.096	DARK	0.7884159089	.
WT	 10	4	2042.75	1358.207	 679.103	 2161.210	DARK	0.0396863097	*
WT	 11	4	 991.00	 891.639	 445.819	 1418.797	DARK	0.1291195644	.
WT	 12	4	4069.50	2564.362	1282.181	 4080.473	DARK	0.1927252284	.
WT	 13	4	5311.00	3107.351	1553.675	 4944.489	LIGHT	0.1555356352	.
WT	 14	4	3001.50	3057.947	1528.973	 4865.876	LIGHT	0.5447448056	.
WT	 15	4	2063.25	2005.937	1002.968	 3191.893	LIGHT	0.7550901901	.
WT	 16	4	1113.75	 745.882	 372.941	 1186.865	LIGHT	0.6025812086	.
WT	 17	4	2947.50	3309.884	1654.942	 5266.765	LIGHT	0.3481876920	.
WT	 18	4	2176.75	2570.183	1285.091	 4089.734	LIGHT	0.5666994850	.
