Genotype	TimePoint	N	CumYA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 28	4	 61686.00	 33343.503	16671.752	 53056.954	LIGHT	0.037368928	*
WT	 29	4	 67392.00	 38083.696	19041.848	 60599.659	LIGHT	0.047556636	*
WT	 30	4	 70653.00	 40595.139	20297.569	 64595.925	LIGHT	0.050620270	.
WT	 31	4	 72897.75	 41403.174	20701.587	 65881.689	LIGHT	0.043341550	*
WT	 32	4	 77492.00	 44323.050	22161.525	 70527.863	DARK	0.046126623	*
WT	 33	4	 81764.25	 45410.039	22705.020	 72257.506	DARK	0.042054318	*
WT	 34	4	 85240.00	 47594.679	23797.339	 75733.755	DARK	0.047224705	*
WT	 35	4	 87248.50	 48694.990	24347.495	 77484.595	DARK	0.052995530	.
WT	 36	4	 90330.25	 50765.162	25382.581	 80778.702	DARK	0.059843432	.
WT	 37	4	 93913.25	 53912.871	26956.435	 85787.408	DARK	0.066867619	.
WT	 38	4	 97895.25	 56366.109	28183.055	 89691.058	DARK	0.076790334	.
WT	 39	4	 99851.00	 56153.781	28076.890	 89353.196	DARK	0.070231018	.
WT	 40	4	102460.25	 58742.699	29371.349	 93472.743	DARK	0.073799742	.
WT	 41	4	104981.50	 60157.887	30078.944	 95724.623	DARK	0.078062964	.
WT	 42	4	106170.50	 59708.956	29854.478	 95010.273	DARK	0.075719896	.
WT	 43	4	107869.75	 61055.351	30527.676	 97152.688	DARK	0.075496060	.
WT	 44	4	109243.75	 60709.048	30354.524	 96601.642	DARK	0.073734606	.
WT	 45	4	111779.75	 62377.858	31188.929	 99257.092	DARK	0.074829163	.
WT	 46	4	113893.50	 63540.449	31770.225	101107.034	DARK	0.070481290	.
WT	 47	4	115043.75	 64146.643	32073.322	102071.624	DARK	0.065180005	.
WT	 48	4	116983.50	 65056.414	32528.207	103519.273	DARK	0.068181549	.
WT	 49	4	120040.00	 66105.138	33052.569	105188.026	DARK	0.065957398	.
WT	 50	4	122346.75	 66007.163	33003.581	105032.126	LIGHT	0.066863613	.
WT	 51	4	123673.25	 67182.334	33591.167	106902.085	LIGHT	0.068646128	.
WT	 52	4	125884.75	 68427.338	34213.669	108883.165	LIGHT	0.068736350	.
WT	 53	4	127059.25	 69406.106	34703.053	110440.602	LIGHT	0.064844382	.
WT	 54	4	129334.25	 71277.643	35638.821	113418.635	LIGHT	0.065283293	.
WT	 55	4	130677.50	 72362.114	36181.057	115144.271	LIGHT	0.056618331	.
WT	 56	4	131232.50	 72621.192	36310.596	115556.522	LIGHT	0.051989256	.
WT	 57	4	132498.25	 73570.066	36785.033	117066.393	LIGHT	0.049171738	*
WT	 58	4	133529.75	 73990.989	36995.495	117736.175	LIGHT	0.047509917	*
WT	 59	4	133713.25	 74165.570	37082.785	118013.972	LIGHT	0.042545971	*
WT	 60	4	134457.00	 74675.084	37337.542	118824.722	LIGHT	0.039744418	*
WT	 61	4	135450.00	 75022.975	37511.487	119378.295	LIGHT	0.038217198	*
