Genotype	TimePoint	N	PerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 97	4	 1494.50	 2325.738	1162.869	 3700.769	LIGHT	0.0939759078	.
112L1	 98	4	  553.75	  370.734	 185.367	  589.920	LIGHT	0.0316496534	*
112L1	 99	4	 2476.00	 2979.902	1489.951	 4741.689	LIGHT	0.0891292276	.
112L1	100	4	 1224.50	  921.188	 460.594	 1465.816	LIGHT	0.0675807466	.
112L1	101	4	 1102.25	  526.691	 263.345	  838.082	LIGHT	0.0648321315	.
112L1	102	4	 1429.00	 1081.661	 540.831	 1721.165	LIGHT	0.2489782592	.
112L1	103	4	 3672.50	 3451.231	1725.615	 5491.679	LIGHT	0.8604949614	.
112L1	104	4	 2126.00	  780.169	 390.084	 1241.423	LIGHT	0.5558038044	.
112L1	105	4	 2969.50	 3796.541	1898.270	 6041.143	DARK	0.3350961659	.
112L1	106	4	 6044.75	 6277.987	3138.994	 9989.679	DARK	0.7721305890	.
112L1	107	4	 2176.75	  982.923	 491.462	 1564.050	DARK	0.1595053044	.
112L1	108	4	 1938.75	  178.675	  89.338	  284.313	DARK	0.0275870324	*
112L1	109	4	 2504.25	 1715.977	 857.988	 2730.502	DARK	0.3970603852	.
112L1	110	4	 2973.25	 1285.704	 642.852	 2045.842	DARK	0.6786940624	.
112L1	111	4	 1464.75	  542.974	 271.487	  863.992	DARK	0.2011911025	.
112L2	  1	4	 3550.25	 2137.660	1068.830	 3401.495	DARK	0.5722384387	.
112L2	  2	4	 3305.75	 1766.230	 883.115	 2810.466	DARK	0.1752427696	.
112L2	  3	4	 4116.00	 2405.686	1202.843	 3827.983	DARK	0.1876430510	.
112L2	  4	4	 3609.25	  923.665	 461.832	 1469.757	DARK	0.6674815175	.
112L2	  5	4	 5998.25	 2276.315	1138.158	 3622.126	DARK	0.1721460726	.
112L2	  6	4	10736.50	 9480.048	4740.024	15084.871	DARK	0.1199576301	.
112L2	  7	4	 8668.50	 9074.597	4537.299	14439.710	DARK	0.4079106072	.
112L2	  8	4	 4083.00	  978.798	 489.399	 1557.486	DARK	0.8483806907	.
112L2	  9	4	 3069.75	 3217.260	1608.630	 5119.379	DARK	0.8571365831	.
112L2	 10	4	 3058.50	 2204.119	1102.059	 3507.245	DARK	0.0902112954	.
112L2	 11	4	 3861.75	  526.549	 263.275	  837.858	DARK	0.1348839186	.
112L2	 12	4	 4480.00	 2476.376	1238.188	 3940.467	DARK	0.1792196063	.
112L2	 13	4	 3681.75	 1682.581	 841.290	 2677.362	LIGHT	0.1563352394	.
112L2	 14	4	 3740.50	 2535.990	1267.995	 4035.325	LIGHT	0.5532492584	.
112L2	 15	4	 4602.75	 5214.968	2607.484	 8298.177	LIGHT	0.7847840103	.
112L2	 16	4	 2933.75	 3747.242	1873.621	 5962.697	LIGHT	0.6176663864	.
112L2	 17	4	 3919.75	 2049.913	1024.957	 3261.869	LIGHT	0.3326706781	.
112L2	 18	4	 4521.00	 4660.907	2330.453	 7416.543	LIGHT	0.5678733534	.
112L2	 19	4	 5265.25	 4677.270	2338.635	 7442.581	LIGHT	0.3355508865	.
112L2	 20	4	 4990.50	 3225.088	1612.544	 5131.834	LIGHT	0.1775977127	.
112L2	 21	4	 6339.50	 3038.884	1519.442	 4835.543	LIGHT	0.0443676104	*
112L2	 22	4	 7880.00	 6471.954	3235.977	10298.323	LIGHT	0.0772399317	.
112L2	 23	4	 7127.50	 6038.148	3019.074	 9608.040	LIGHT	0.2526823175	.
112L2	 24	4	 4184.00	 2898.276	1449.138	 4611.804	LIGHT	0.6224295679	.
112L2	 25	4	 5761.00	 5158.054	2579.027	 8207.615	LIGHT	0.2898533024	.
112L2	 26	4	 4654.25	 3253.731	1626.865	 5177.411	LIGHT	0.2414380824	.
112L2	 27	4	 3129.50	 2163.768	1081.884	 3443.038	LIGHT	0.1058002472	.
112L2	 28	4	 3501.50	 1570.100	 785.050	 2498.380	LIGHT	0.5212829178	.
112L2	 29	4	 5140.50	 4087.039	2043.520	 6503.392	LIGHT	0.1780942950	.
112L2	 30	4	 4596.00	 3038.708	1519.354	 4835.262	LIGHT	0.4111118346	.
112L2	 31	4	 5667.75	 4425.072	2212.536	 7041.278	LIGHT	0.3782287464	.
112L2	 32	4	 4567.50	 1143.688	 571.844	 1819.862	DARK	0.1577772501	.
112L2	 33	4	 5912.00	  792.169	 396.085	 1260.518	DARK	0.6534319310	.
112L2	 34	4	 5779.50	 9018.706	4509.353	14350.774	DARK	0.9659943515	.
112L2	 35	4	 2418.50	 1867.768	 933.884	 2972.035	DARK	0.2415623169	.
112L2	 36	4	 3313.50	 2015.152	1007.576	 3206.556	DARK	0.6806341124	.
112L2	 37	4	 3457.75	 1657.094	 828.547	 2636.806	DARK	0.5908163062	.
112L2	 38	4	 3536.50	 1259.838	 629.919	 2004.684	DARK	0.4170006229	.
112L2	 39	4	 5306.25	 2076.024	1038.012	 3303.417	DARK	0.2427978591	.
112L2	 40	4	 5092.25	 1203.845	 601.923	 1915.586	DARK	0.6882283735	.
112L2	 41	4	 3661.75	 2759.979	1379.990	 4391.743	DARK	0.8689786364	.
112L2	 42	4	 4225.75	 3108.071	1554.035	 4945.634	DARK	0.5870933148	.
112L2	 43	4	 7372.25	 3124.819	1562.410	 4972.285	DARK	0.1640796342	.
112L2	 44	4	 4558.25	 3065.222	1532.611	 4877.452	DARK	0.3819490211	.
112L2	 45	4	 4587.75	 2960.856	1480.428	 4711.383	DARK	0.6813215866	.
112L2	 46	4	 4620.75	 2262.062	1131.031	 3599.446	DARK	0.5616203207	.
112L2	 47	4	 5079.00	 3615.633	1807.816	 5753.279	DARK	0.2025071144	.
112L2	 48	4	 4857.25	 2306.046	1153.023	 3669.435	DARK	0.4341588610	.
112L2	 49	4	 6395.00	 1390.311	 695.156	 2212.296	DARK	0.1098539355	.
112L2	 50	4	 4510.25	 1784.017	 892.009	 2838.770	LIGHT	0.8935313062	.
112L2	 51	4	 3399.00	 3167.863	1583.931	 5040.777	LIGHT	0.7579088039	.
112L2	 52	4	 6359.25	 8123.781	4061.890	12926.748	LIGHT	0.2547826502	.
112L2	 53	4	 8844.25	10602.389	5301.194	16870.766	LIGHT	0.2283182109	.
112L2	 54	4	 4630.75	 5328.613	2664.307	 8479.013	LIGHT	0.4233691742	.
