Genotype	TimePoint	N	CumCenA	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 97	4	107779.50	26995.507	13497.753	42955.875	LIGHT	0.06691146	.
112L2	 98	4	107874.50	26867.431	13433.716	42752.078	LIGHT	0.06695383	.
112L2	 99	4	108180.25	27368.805	13684.403	43549.877	LIGHT	0.04594393	*
112L2	100	4	108398.75	27765.758	13882.879	44181.518	LIGHT	0.03964528	*
112L2	101	4	108658.50	27741.143	13870.571	44142.348	LIGHT	0.03468007	*
112L2	102	4	109273.25	27574.558	13787.279	43877.275	LIGHT	0.02665581	*
112L2	103	4	109733.75	26949.580	13474.790	42882.796	LIGHT	0.02224694	*
112L2	104	4	109733.75	26949.580	13474.790	42882.796	LIGHT	0.02043269	*
112L2	105	4	109785.75	26922.845	13461.422	42840.254	DARK	0.01958680	*
112L2	106	4	110284.50	27827.730	13913.865	44280.128	DARK	0.01715186	*
112L2	107	4	111025.25	28749.432	14374.716	45746.762	DARK	0.01925625	*
112L2	108	4	111708.75	29207.374	14603.687	46475.450	DARK	0.01915855	*
112L2	109	4	111763.50	29307.413	14653.707	46634.635	DARK	0.01765282	*
112L2	110	4	112943.75	29889.142	14944.571	47560.294	DARK	0.01582957	*
112L2	111	4	115416.00	32240.202	16120.101	51301.356	DARK	0.02140000	*
WT	  1	4	   559.25	  898.707	  449.353	 1430.043	DARK	0.07494069	.
WT	  2	4	  2525.00	 1297.703	  648.852	 2064.936	DARK	0.02613332	*
WT	  3	4	  4890.75	 1405.764	  702.882	 2236.885	DARK	0.18825461	.
WT	  4	4	  6776.75	 1843.940	  921.970	 2934.120	DARK	0.34603254	.
WT	  5	4	  7630.75	 1390.045	  695.022	 2211.872	DARK	0.15886486	.
WT	  6	4	  8257.50	 1773.754	  886.877	 2822.438	DARK	0.12860002	.
WT	  7	4	  8921.00	 1684.621	  842.311	 2680.608	DARK	0.08527890	.
WT	  8	4	  9901.50	 2239.207	 1119.604	 3563.079	DARK	0.09813218	.
WT	  9	4	 10351.25	 2637.180	 1318.590	 4196.343	DARK	0.06185317	.
WT	 10	4	 11017.75	 3264.918	 1632.459	 5195.212	DARK	0.02021473	*
WT	 11	4	 11471.75	 3427.638	 1713.819	 5454.137	DARK	0.01144104	*
WT	 12	4	 12765.75	 3259.348	 1629.674	 5186.350	DARK	0.01439331	*
WT	 13	4	 15653.00	 2727.065	 1363.532	 4339.368	LIGHT	0.04208253	*
WT	 14	4	 16926.00	 3108.426	 1554.213	 4946.199	LIGHT	0.07704156	.
WT	 15	4	 17422.25	 3486.424	 1743.212	 5547.679	LIGHT	0.05912551	.
WT	 16	4	 17446.75	 3514.211	 1757.106	 5591.895	LIGHT	0.06496211	.
WT	 17	4	 18371.50	 2439.389	 1219.695	 3881.613	LIGHT	0.06818988	.
WT	 18	4	 19198.25	 3068.948	 1534.474	 4883.381	LIGHT	0.07784887	.
WT	 19	4	 20053.25	 3867.158	 1933.579	 6153.511	LIGHT	0.07686662	.
WT	 20	4	 20563.00	 3980.741	 1990.371	 6334.247	LIGHT	0.08237356	.
WT	 21	4	 20596.75	 3971.086	 1985.543	 6318.884	LIGHT	0.07232809	.
WT	 22	4	 21016.00	 3601.687	 1800.843	 5731.087	LIGHT	0.06921478	.
WT	 23	4	 21071.75	 3654.436	 1827.218	 5815.023	LIGHT	0.06719685	.
WT	 24	4	 22166.50	 4536.073	 2268.036	 7217.904	LIGHT	0.06499568	.
WT	 25	4	 22415.50	 4851.602	 2425.801	 7719.981	LIGHT	0.07235603	.
WT	 26	4	 22963.50	 4231.052	 2115.526	 6732.548	LIGHT	0.07819475	.
WT	 27	4	 23643.00	 4953.515	 2476.757	 7882.148	LIGHT	0.09499713	.
WT	 28	4	 23697.50	 4984.339	 2492.170	 7931.196	LIGHT	0.07822436	.
WT	 29	4	 23748.25	 5015.003	 2507.501	 7979.988	LIGHT	0.07292324	.
WT	 30	4	 24873.00	 4249.264	 2124.632	 6761.527	LIGHT	0.06354064	.
WT	 31	4	 25798.25	 4993.431	 2496.716	 7945.664	LIGHT	0.05328107	.
WT	 32	4	 26976.50	 5156.656	 2578.328	 8205.391	DARK	0.07229786	.
WT	 33	4	 29472.25	 5803.195	 2901.597	 9234.178	DARK	0.07998033	.
WT	 34	4	 30634.00	 5720.684	 2860.342	 9102.885	DARK	0.07139850	.
WT	 35	4	 31564.75	 5989.734	 2994.867	 9531.003	DARK	0.05881947	.
WT	 36	4	 32673.75	 6302.902	 3151.451	10029.323	DARK	0.06474450	.
WT	 37	4	 34029.00	 5622.504	 2811.252	 8946.659	DARK	0.07079110	.
WT	 38	4	 36232.75	 5914.649	 2957.325	 9411.527	DARK	0.06484136	.
WT	 39	4	 38011.75	 7220.322	 3610.161	11489.144	DARK	0.06871963	.
WT	 40	4	 38363.75	 7096.945	 3548.473	11292.824	DARK	0.05288434	.
WT	 41	4	 40048.50	 6978.690	 3489.345	11104.653	DARK	0.06626868	.
WT	 42	4	 40854.00	 7910.974	 3955.487	12588.125	DARK	0.06185652	.
WT	 43	4	 41466.50	 7552.594	 3776.297	12017.863	DARK	0.05635399	.
WT	 44	4	 42321.25	 8872.354	 4436.177	14117.894	DARK	0.05839808	.
WT	 45	4	 43026.75	 9051.063	 4525.532	14402.262	DARK	0.05683895	.
WT	 46	4	 44044.50	 9546.046	 4773.023	15189.889	DARK	0.06592443	.
WT	 47	4	 44535.25	 9763.871	 4881.936	15536.498	DARK	0.07048207	.
WT	 48	4	 45713.75	10254.396	 5127.198	16317.032	DARK	0.07831508	.
WT	 49	4	 47769.25	10739.376	 5369.688	17088.743	DARK	0.09745958	.
WT	 50	4	 50082.00	11803.246	 5901.623	18781.599	LIGHT	0.09896154	.
WT	 51	4	 51000.00	11641.808	 5820.904	18524.714	LIGHT	0.09335110	.
WT	 52	4	 51915.25	12086.978	 6043.489	19233.079	LIGHT	0.11293179	.
WT	 53	4	 52298.00	12287.131	 6143.566	19551.567	LIGHT	0.11353188	.
WT	 54	4	 53085.25	12875.936	 6437.968	20488.487	LIGHT	0.11588455	.
WT	 55	4	 53293.50	12958.845	 6479.423	20620.415	LIGHT	0.10830045	.
WT	 56	4	 53499.75	13174.918	 6587.459	20964.235	LIGHT	0.10712200	.
WT	 57	4	 54549.75	12844.398	 6422.199	20438.303	LIGHT	0.10686476	.
WT	 58	4	 55117.50	12786.499	 6393.249	20346.173	LIGHT	0.10602228	.
WT	 59	4	 55141.00	12818.123	 6409.062	20396.494	LIGHT	0.10411440	.
WT	 60	4	 55329.50	13059.265	 6529.632	20780.205	LIGHT	0.10654706	.
WT	 61	4	 55745.00	13299.007	 6649.504	21161.688	LIGHT	0.11065003	.
WT	 62	4	 56223.75	13278.257	 6639.129	21128.670	LIGHT	0.10473231	.
