Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	101	4	254802.50	 71437.366	35718.683	113672.790	LIGHT	0.02903660	*
112L1	102	4	256231.50	 71015.848	35507.924	113002.061	LIGHT	0.02927299	*
112L1	103	4	259904.00	 72438.283	36219.142	115265.473	LIGHT	0.03088588	*
112L1	104	4	262030.00	 72978.849	36489.424	116125.633	LIGHT	0.03101052	*
112L1	105	4	264999.50	 76121.267	38060.634	121125.923	DARK	0.03129403	*
112L1	106	4	271044.25	 81102.729	40551.365	129052.540	DARK	0.03445712	*
112L1	107	4	273221.00	 80782.475	40391.238	128542.945	DARK	0.03339349	*
112L1	108	4	275159.75	 80951.297	40475.648	128811.578	DARK	0.03245274	*
112L1	109	4	277664.00	 81277.597	40638.799	129330.794	DARK	0.03046959	*
112L1	110	4	280637.25	 82082.622	41041.311	130611.768	DARK	0.03102170	*
112L1	111	4	282102.00	 82052.278	41026.139	130563.485	DARK	0.03072710	*
112L2	  1	4	  3550.25	  2137.660	 1068.830	  3401.495	DARK	0.57223844	.
112L2	  2	4	  6856.00	  3778.220	 1889.110	  6011.991	DARK	0.37317911	.
112L2	  3	4	 10972.00	  6105.443	 3052.721	  9715.122	DARK	0.38817577	.
112L2	  4	4	 14581.25	  6249.760	 3124.880	  9944.762	DARK	0.31856113	.
112L2	  5	4	 20579.50	  4189.805	 2094.902	  6666.914	DARK	0.49147855	.
112L2	  6	4	 31316.00	  6753.204	 3376.602	 10745.854	DARK	0.42969747	.
112L2	  7	4	 39984.50	 14794.543	 7397.272	 23541.420	DARK	0.33956540	.
112L2	  8	4	 44067.50	 14392.483	 7196.241	 22901.652	DARK	0.32524881	.
112L2	  9	4	 47137.25	 13934.257	 6967.128	 22172.512	DARK	0.35536531	.
112L2	 10	4	 50195.75	 13995.627	 6997.813	 22270.166	DARK	0.47592466	.
112L2	 11	4	 54057.50	 14486.722	 7243.361	 23051.608	DARK	0.45165649	.
112L2	 12	4	 58537.50	 13871.213	 6935.607	 22072.196	DARK	0.38545527	.
112L2	 13	4	 62219.25	 12295.800	 6147.900	 19565.362	LIGHT	0.39874147	.
112L2	 14	4	 65959.75	 11505.567	 5752.783	 18307.924	LIGHT	0.36108712	.
112L2	 15	4	 70562.50	 15727.284	 7863.642	 25025.618	LIGHT	0.38165740	.
112L2	 16	4	 73496.25	 19363.516	 9681.758	 30811.675	LIGHT	0.37674911	.
112L2	 17	4	 77416.00	 20301.638	10150.819	 32304.437	LIGHT	0.35344174	.
112L2	 18	4	 81937.00	 24930.555	12465.277	 39670.076	LIGHT	0.35629332	.
112L2	 19	4	 87202.25	 29043.579	14521.790	 46214.815	LIGHT	0.31216141	.
112L2	 20	4	 92192.75	 29667.903	14833.952	 47208.254	LIGHT	0.25918271	.
112L2	 21	4	 98532.25	 31580.312	15790.156	 50251.324	LIGHT	0.21628282	.
112L2	 22	4	106412.25	 32377.682	16188.841	 51520.118	LIGHT	0.14350801	.
112L2	 23	4	113539.75	 31412.366	15706.183	 49984.084	LIGHT	0.11631524	.
112L2	 24	4	117723.75	 32602.780	16301.390	 51878.298	LIGHT	0.13950386	.
112L2	 25	4	123484.75	 36135.835	18067.918	 57500.178	LIGHT	0.13659140	.
112L2	 26	4	128139.00	 38947.269	19473.634	 61973.795	LIGHT	0.13989856	.
112L2	 27	4	131268.50	 39069.418	19534.709	 62168.162	LIGHT	0.12721479	.
112L2	 28	4	134770.00	 39162.535	19581.268	 62316.333	LIGHT	0.12151672	.
112L2	 29	4	139910.50	 42630.988	21315.494	 67835.415	LIGHT	0.12898616	.
112L2	 30	4	144506.50	 42199.610	21099.805	 67148.996	LIGHT	0.12537414	.
112L2	 31	4	150174.25	 41806.714	20903.357	 66523.812	LIGHT	0.10928414	.
112L2	 32	4	154741.75	 40898.140	20449.070	 65078.067	DARK	0.11037732	.
112L2	 33	4	160653.75	 41604.337	20802.169	 66201.784	DARK	0.12122256	.
112L2	 34	4	166433.25	 50337.437	25168.718	 80098.095	DARK	0.18395587	.
112L2	 35	4	168851.75	 50868.396	25434.198	 80942.970	DARK	0.23276393	.
112L2	 36	4	172165.25	 50210.728	25105.364	 79896.472	DARK	0.28116929	.
112L2	 37	4	175623.00	 49582.554	24791.277	 78896.908	DARK	0.29512719	.
112L2	 38	4	179159.50	 48743.751	24371.876	 77562.186	DARK	0.31968582	.
112L2	 39	4	184465.75	 47936.938	23968.469	 76278.366	DARK	0.29606421	.
112L2	 40	4	189558.00	 46860.847	23430.424	 74566.065	DARK	0.29425444	.
112L2	 41	4	193219.75	 49235.550	24617.775	 78344.746	DARK	0.31134754	.
112L2	 42	4	197445.50	 52237.234	26118.617	 83121.096	DARK	0.32120686	.
