Genotype	TimePoint	N	CenT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	100	4	1320.75	1544.423	 772.211	2457.522	LIGHT	0.1714771061	.
112L1	101	4	1555.50	1434.726	 717.363	2282.969	LIGHT	0.2146519284	.
112L1	102	4	2534.25	2409.501	1204.750	3834.053	LIGHT	0.1362697014	.
112L1	103	4	1513.50	1512.955	 756.478	2407.449	LIGHT	0.5377907634	.
112L1	104	4	2371.75	1587.277	 793.639	2525.713	LIGHT	0.0329387985	*
112L1	105	4	1769.25	1126.937	 563.468	1793.208	DARK	0.0199774440	*
112L1	106	4	4401.75	3136.936	1568.468	4991.565	DARK	0.0763522218	.
112L1	107	4	2090.25	 927.481	 463.740	1475.829	DARK	0.1912914669	.
112L1	108	4	2567.75	 350.152	 175.076	 557.170	DARK	0.0008667516	****
112L1	109	4	2015.00	 761.029	 380.514	1210.966	DARK	0.0234119980	*
112L1	110	4	2868.50	1022.965	 511.483	1627.766	DARK	0.1753597746	.
112L1	111	4	2424.50	 654.219	 327.110	1041.009	DARK	0.9531276668	.
112L2	  1	4	1899.25	2469.520	1234.760	3929.557	DARK	0.0726886381	.
112L2	  2	4	2207.25	1727.118	 863.559	2748.230	DARK	0.1282461554	.
112L2	  3	4	2982.50	2117.344	1058.672	3369.167	DARK	0.8939643523	.
112L2	  4	4	2544.25	1041.471	 520.736	1657.213	DARK	0.5787039751	.
112L2	  5	4	3312.50	 512.743	 256.372	 815.889	DARK	0.0099140558	**
112L2	  6	4	2255.00	2215.146	1107.573	3524.791	DARK	0.4742779552	.
112L2	  7	4	1714.00	1728.085	 864.042	2749.768	DARK	0.6319978445	.
112L2	  8	4	1983.50	1572.263	 786.132	2501.822	DARK	0.7805068280	.
112L2	  9	4	 986.25	1761.263	 880.631	2802.562	DARK	0.3132865803	.
112L2	 10	4	 918.50	 930.329	 465.165	1480.361	DARK	0.0151085794	*
112L2	 11	4	2701.75	1170.185	 585.092	1862.025	DARK	0.2226556022	.
112L2	 12	4	2161.50	1590.656	 795.328	2531.088	DARK	0.9492941658	.
112L2	 13	4	1839.25	1550.088	 775.044	2466.535	LIGHT	0.2309974603	.
112L2	 14	4	2291.50	2058.257	1029.129	3275.146	LIGHT	0.4168721872	.
112L2	 15	4	1392.50	1736.148	 868.074	2762.599	LIGHT	0.3770795960	.
112L2	 16	4	1092.50	1933.759	 966.880	3077.043	LIGHT	0.5945502514	.
112L2	 17	4	1190.25	1008.885	 504.442	1605.361	LIGHT	0.4782664124	.
112L2	 18	4	 963.25	1140.501	 570.250	1814.791	LIGHT	0.9901652924	.
112L2	 19	4	 668.25	 550.468	 275.234	 875.917	LIGHT	0.8163925105	.
112L2	 20	4	1760.75	3334.855	1667.428	5306.499	LIGHT	0.5406133390	.
112L2	 21	4	1300.25	1504.673	 752.337	2394.271	LIGHT	0.4358025587	.
112L2	 22	4	1064.00	1463.971	 731.986	2329.505	LIGHT	0.5374683611	.
112L2	 23	4	 293.75	 568.331	 284.166	 904.342	LIGHT	0.3997073137	.
112L2	 24	4	 433.50	 637.799	 318.900	1014.881	LIGHT	0.3891332972	.
112L2	 25	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.2085214660	.
112L2	 26	4	 175.50	 205.810	 102.905	 327.489	LIGHT	0.6801968016	.
112L2	 27	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.2597823150	.
112L2	 28	4	 219.75	 439.500	 219.750	 699.343	LIGHT	0.2277478023	.
112L2	 29	4	 590.25	 684.963	 342.482	1089.930	LIGHT	0.4004917088	.
112L2	 30	4	 567.25	 885.331	 442.665	1408.759	LIGHT	0.3583183983	.
112L2	 31	4	  50.50	  82.803	  41.401	 131.758	LIGHT	0.0824250317	.
112L2	 32	4	2131.50	4263.000	2131.500	6783.384	DARK	0.9249809259	.
112L2	 33	4	2215.75	1885.673	 942.837	3000.527	DARK	0.5076115773	.
112L2	 34	4	 745.25	 871.469	 435.735	1386.702	DARK	0.0441133613	*
112L2	 35	4	 594.50	 450.338	 225.169	 716.588	DARK	0.0948971127	.
112L2	 36	4	2574.75	1935.797	 967.899	3080.285	DARK	0.4819029060	.
112L2	 37	4	1360.50	2606.291	1303.146	4147.191	DARK	0.9572425000	.
112L2	 38	4	2016.25	1607.858	 803.929	2558.461	DARK	0.2288603440	.
112L2	 39	4	1847.50	1149.108	 574.554	1828.488	DARK	0.6243452598	.
112L2	 40	4	2559.75	1082.321	 541.161	1722.214	DARK	0.0118358475	*
112L2	 41	4	2646.75	1924.293	 962.147	3061.980	DARK	0.8579276685	.
112L2	 42	4	2936.75	2041.289	1020.644	3248.146	DARK	0.2902256540	.
112L2	 43	4	3664.75	2269.275	1134.638	3610.923	DARK	0.1166272715	.
112L2	 44	4	1737.25	1547.470	 773.735	2462.371	DARK	0.2163440540	.
112L2	 45	4	1768.50	2349.080	1174.540	3737.911	DARK	0.2542839392	.
112L2	 46	4	1859.50	1721.405	 860.702	2739.139	DARK	0.8544828031	.
112L2	 47	4	1606.25	1804.427	 902.214	2871.246	DARK	0.6667397785	.
112L2	 48	4	1687.75	1553.825	 776.912	2472.482	DARK	0.6744936680	.
112L2	 49	4	2251.75	 518.476	 259.238	 825.011	DARK	0.2842506181	.
112L2	 50	4	1514.25	1777.387	 888.693	2828.219	LIGHT	0.2752078571	.
112L2	 51	4	 818.50	1535.951	 767.976	2444.042	LIGHT	0.6040077218	.
112L2	 52	4	2258.75	2645.389	1322.695	4209.404	LIGHT	0.2779179635	.
112L2	 53	4	3236.00	2965.649	1482.825	4719.009	LIGHT	0.1522384824	.
112L2	 54	4	1455.00	1227.790	 613.895	1953.688	LIGHT	0.8690904665	.
112L2	 55	4	1886.75	2295.485	1147.742	3652.628	LIGHT	0.3966648476	.
112L2	 56	4	1037.75	1879.566	 939.783	2990.809	LIGHT	0.7214956511	.
112L2	 57	4	 873.25	1746.500	 873.250	2779.071	LIGHT	0.9110995997	.
112L2	 58	4	 314.25	 628.500	 314.250	1000.084	LIGHT	0.7311617160	.
112L2	 59	4	1170.25	 819.411	 409.705	1303.866	LIGHT	0.0165657781	*
112L2	 60	4	 561.75	1123.500	 561.750	1787.739	LIGHT	0.8585644779	.
112L2	 61	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.2920276153	.
112L2	 62	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.2241720288	.
112L2	 63	4	  68.50	 137.000	  68.500	 217.998	LIGHT	0.4509125036	.
112L2	 64	4	 653.50	1181.212	 590.606	1879.572	LIGHT	0.9104922161	.
112L2	 65	4	1441.00	1455.103	 727.551	2315.394	LIGHT	0.5947594289	.
112L2	 66	4	  35.25	  70.500	  35.250	 112.181	LIGHT	0.1200048732	.
112L2	 67	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.1018730500	.
112L2	 68	4	   0.00	   0.000	   0.000	   0.000	LIGHT	0.1023587846	.
112L2	 69	4	 505.00	 897.134	 448.567	1427.541	DARK	0.0077412445	**
112L2	 70	4	1131.75	1318.528	 659.264	2098.072	DARK	0.1231590733	.
112L2	 71	4	2503.25	1372.072	 686.036	2183.274	DARK	0.7994589675	.
112L2	 72	4	 983.25	1526.938	 763.469	2429.700	DARK	0.0979940941	.
112L2	 73	4	 785.50	1263.316	 631.658	2010.217	DARK	0.1547828744	.
112L2	 74	4	 894.25	1115.080	 557.540	1774.342	DARK	0.4229303602	.
112L2	 75	4	1515.00	1995.625	 997.812	3175.485	DARK	0.3725744669	.
112L2	 76	4	2664.50	3289.741	1644.871	5234.712	DARK	0.6096330779	.
112L2	 77	4	3317.50	2510.564	1255.282	3994.868	DARK	0.2799961432	.
112L2	 78	4	3090.50	1008.358	 504.179	1604.522	DARK	0.0686238057	.
112L2	 79	4	1413.50	 980.807	 490.403	1560.682	DARK	0.3066555962	.
112L2	 80	4	1249.75	1172.530	 586.265	1865.757	DARK	0.6775601016	.
112L2	 81	4	1676.25	1329.778	 664.889	2115.973	DARK	0.1608346007	.
112L2	 82	4	2634.50	1209.738	 604.869	1924.964	DARK	0.3699112454	.
112L2	 83	4	1670.75	1929.558	 964.779	3070.357	DARK	0.6989968713	.
112L2	 84	4	 552.00	 656.979	 328.490	1045.401	DARK	0.0164255686	*
112L2	 85	4	1750.50	2024.396	1012.198	3221.266	DARK	0.4993944664	.
112L2	 86	4	2183.75	1870.524	 935.262	2976.422	DARK	0.9283434556	.
112L2	 87	4	 538.25	 570.805	 285.402	 908.278	LIGHT	0.2786964779	.
112L2	 88	4	 582.25	1164.500	 582.250	1852.979	LIGHT	0.4429270395	.
112L2	 89	4	1241.25	1392.899	 696.449	2216.413	LIGHT	0.9998429554	.
112L2	 90	4	4617.50	2397.910	1198.955	3815.610	LIGHT	0.0050091925	**
112L2	 91	4	1450.50	1633.623	 816.811	2599.458	LIGHT	0.7311831697	.
