Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 96	4	 2526.00	 1139.674	  569.837	 1813.476	LIGHT	0.1580202663	.
112L1	 97	4	 2209.25	 2658.864	 1329.432	 4230.846	LIGHT	0.1449428512	.
112L1	 98	4	 2206.00	  863.745	  431.872	 1374.410	LIGHT	0.1420754046	.
112L1	 99	4	 5759.75	 7675.381	 3837.691	12213.244	LIGHT	0.8592040709	.
112L1	100	4	 6242.50	 6934.037	 3467.018	11033.599	LIGHT	0.9917412789	.
112L1	101	4	 6078.00	 8852.244	 4426.122	14085.896	LIGHT	0.9497734264	.
112L1	102	4	 9716.25	14276.357	 7138.179	22716.870	LIGHT	0.6891965708	.
112L1	103	4	20489.00	32454.559	16227.279	51642.445	LIGHT	0.4249159881	.
112L1	104	4	14667.00	20615.387	10307.694	32803.682	LIGHT	0.3682767404	.
112L1	105	4	 8639.75	 6940.969	 3470.484	11044.630	DARK	0.3266747201	.
112L1	106	4	12338.25	13084.701	 6542.350	20820.679	DARK	0.3329638218	.
112L1	107	4	14633.50	20779.214	10389.607	33064.366	DARK	0.5847112448	.
112L1	108	4	11665.00	16763.270	 8381.635	26674.104	DARK	0.6073790872	.
112L1	109	4	18282.00	29480.698	14740.349	46910.368	DARK	0.4314270466	.
112L1	110	4	10706.50	11089.041	 5544.521	17645.139	DARK	0.3187118946	.
112L1	111	4	11500.00	15520.699	 7760.350	24696.896	DARK	0.6266477104	.
112L2	  1	4	 6008.75	 2250.914	 1125.457	 3581.706	DARK	0.4411287065	.
112L2	  2	4	 5891.75	 2939.376	 1469.688	 4677.204	DARK	0.8151238645	.
112L2	  3	4	 7308.25	 3121.924	 1560.962	 4967.678	DARK	0.1705191174	.
112L2	  4	4	 4693.25	  478.407	  239.203	  761.252	DARK	0.6034202157	.
112L2	  5	4	 6034.25	  987.157	  493.578	 1570.787	DARK	0.0089975272	**
112L2	  6	4	 9914.50	 8318.202	 4159.101	13236.116	DARK	0.1220373571	.
112L2	  7	4	11328.50	12481.356	 6240.678	19860.623	DARK	0.3520642649	.
112L2	  8	4	 5479.50	 2184.693	 1092.347	 3476.334	DARK	0.4703043802	.
112L2	  9	4	 4880.50	 4227.881	 2113.941	 6727.503	DARK	0.4812471389	.
112L2	 10	4	 4389.25	 1502.265	  751.133	 2390.440	DARK	0.0522070895	.
112L2	 11	4	 4980.50	  827.425	  413.713	 1316.618	DARK	0.1197314286	.
112L2	 12	4	 6258.75	 3392.304	 1696.152	 5397.912	DARK	0.0648907377	.
112L2	 13	4	 4637.25	  982.032	  491.016	 1562.633	LIGHT	0.0788112886	.
112L2	 14	4	 5549.50	 1756.777	  878.389	 2795.424	LIGHT	0.1678975910	.
112L2	 15	4	 5225.75	 5263.848	 2631.924	 8375.956	LIGHT	0.8318878578	.
112L2	 16	4	 6660.00	 9791.436	 4895.718	15580.360	LIGHT	0.5983815695	.
112L2	 17	4	 4927.00	 2436.038	 1218.019	 3876.280	LIGHT	0.3565185299	.
112L2	 18	4	 4131.75	 3325.580	 1662.790	 5291.739	LIGHT	0.5761706701	.
112L2	 19	4	 5780.00	 2587.672	 1293.836	 4117.563	LIGHT	0.1755580398	.
112L2	 20	4	 4774.50	 3273.179	 1636.589	 5208.357	LIGHT	0.5923769084	.
112L2	 21	4	 4890.75	 2601.173	 1300.586	 4139.047	LIGHT	0.6855686393	.
112L2	 22	4	 6702.50	 7549.440	 3774.720	12012.844	LIGHT	0.3537108450	.
112L2	 23	4	 5654.00	 3875.263	 1937.631	 6166.408	LIGHT	0.3860340977	.
112L2	 24	4	 4041.25	 2826.913	 1413.457	 4498.250	LIGHT	0.7437294232	.
112L2	 25	4	 4102.25	 2867.213	 1433.607	 4562.376	LIGHT	0.4732884122	.
112L2	 26	4	 4182.25	 2127.673	 1063.837	 3385.603	LIGHT	0.1439619584	.
112L2	 27	4	 5082.50	 1835.812	  917.906	 2921.187	LIGHT	0.3073019294	.
112L2	 28	4	 3787.25	 1518.993	  759.496	 2417.056	LIGHT	0.6557300162	.
