Genotype	TimePoint	N	CumPerA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 10	4	 32851.50	  9520.518	 4760.259	 15149.268	DARK	0.50999642	.
WT	 11	4	 33842.50	 10188.747	 5094.374	 16212.570	DARK	0.48018418	.
WT	 12	4	 37912.00	 11763.120	 5881.560	 18717.749	DARK	0.40971506	.
WT	 13	4	 43223.00	 13951.073	 6975.537	 22199.271	LIGHT	0.43303604	.
WT	 14	4	 46224.50	 15114.792	 7557.396	 24051.007	LIGHT	0.38584768	.
WT	 15	4	 48287.75	 15771.292	 7885.646	 25095.645	LIGHT	0.40771364	.
WT	 16	4	 49401.50	 16361.038	 8180.519	 26034.063	LIGHT	0.40386696	.
WT	 17	4	 52349.00	 19071.532	 9535.766	 30347.064	LIGHT	0.37939304	.
WT	 18	4	 54525.75	 19762.804	 9881.402	 31447.032	LIGHT	0.37990708	.
WT	 19	4	 56830.00	 19992.634	 9996.317	 31812.741	LIGHT	0.33333453	.
WT	 20	4	 59248.00	 21890.202	10945.101	 34832.196	LIGHT	0.27257465	.
WT	 21	4	 60961.00	 22669.626	11334.813	 36072.433	LIGHT	0.22567349	.
WT	 22	4	 62305.25	 23340.535	11670.268	 37140.000	LIGHT	0.14646743	.
WT	 23	4	 63176.25	 23797.384	11898.692	 37866.949	LIGHT	0.11037793	.
WT	 24	4	 67246.00	 26625.610	13312.805	 42367.288	LIGHT	0.13121651	.
WT	 25	4	 70117.25	 29166.571	14583.286	 46410.523	LIGHT	0.12724422	.
WT	 26	4	 74080.75	 32370.552	16185.276	 51508.772	LIGHT	0.13181946	.
WT	 27	4	 76683.00	 33313.156	16656.578	 53008.665	LIGHT	0.11959333	.
WT	 28	4	 78825.75	 34958.979	17479.489	 55627.537	LIGHT	0.11488046	.
WT	 29	4	 84604.25	 39816.880	19908.440	 63357.541	LIGHT	0.12421989	.
WT	 30	4	 88738.00	 42446.273	21223.136	 67541.492	LIGHT	0.11904961	.
WT	 31	4	 91479.50	 42699.237	21349.618	 67944.014	LIGHT	0.10209850	.
WT	 32	4	 97355.75	 44467.050	22233.525	 70756.999	DARK	0.10439969	.
WT	 33	4	103381.50	 44400.887	22200.444	 70651.720	DARK	0.11837879	.
WT	 34	4	107859.25	 46327.919	23163.959	 73718.057	DARK	0.18974830	.
WT	 35	4	110515.25	 47120.681	23560.340	 74979.519	DARK	0.24348695	.
WT	 36	4	114467.75	 49129.293	24564.647	 78175.669	DARK	0.29474559	.
WT	 37	4	118624.00	 52517.493	26258.747	 83567.051	DARK	0.30671292	.
WT	 38	4	123715.00	 55167.016	27583.508	 87783.032	DARK	0.33235581	.
WT	 39	4	127218.50	 54724.233	27362.117	 87078.467	DARK	0.30596115	.
WT	 40	4	130286.25	 57667.620	28833.810	 91762.052	DARK	0.30118947	.
WT	 41	4	133784.25	 59068.684	29534.342	 93991.457	DARK	0.31738722	.
WT	 42	4	136066.25	 58308.836	29154.418	 92782.370	DARK	0.32558077	.
WT	 43	4	138336.25	 60070.622	30035.311	 95585.764	DARK	0.33406493	.
WT	 44	4	140213.25	 59120.705	29560.353	 94074.235	DARK	0.33423573	.
WT	 45	4	143284.50	 60992.963	30496.482	 97053.415	DARK	0.33322720	.
WT	 46	4	146077.00	 62071.802	31035.901	 98770.089	DARK	0.31877272	.
WT	 47	4	147530.75	 62592.928	31296.464	 99599.316	DARK	0.30806399	.
WT	 48	4	150202.50	 63161.784	31580.892	100504.493	DARK	0.30729120	.
WT	 49	4	154941.50	 64112.623	32056.312	102017.490	DARK	0.28421092	.
WT	 50	4	158602.75	 63544.897	31772.449	101114.112	LIGHT	0.28604136	.
WT	 51	4	160607.50	 65121.726	32560.863	103623.199	LIGHT	0.28709533	.
WT	 52	4	163348.25	 66328.263	33164.131	105543.067	LIGHT	0.27489927	.
WT	 53	4	164754.75	 67279.570	33639.785	107056.810	LIGHT	0.25969725	.
WT	 54	4	167654.75	 69275.091	34637.545	110232.128	LIGHT	0.25635991	.
WT	 55	4	169082.50	 70340.496	35170.248	111927.425	LIGHT	0.23945681	.
WT	 56	4	169863.50	 70409.448	35204.724	112037.144	LIGHT	0.22820278	.
WT	 57	4	171665.25	 71516.094	35758.047	113798.065	LIGHT	0.21860298	.
WT	 58	4	172974.25	 71999.249	35999.625	114566.872	LIGHT	0.21720828	.
WT	 59	4	173187.00	 72179.945	36089.973	114854.400	LIGHT	0.20603216	.
WT	 60	4	174045.00	 72632.404	36316.202	115574.362	LIGHT	0.19730314	.
WT	 61	4	175089.00	 72965.386	36482.693	116104.212	LIGHT	0.19254250	.
WT	 62	4	177046.25	 74690.374	37345.187	118849.053	LIGHT	0.19080676	.
WT	 63	4	180178.25	 76924.311	38462.156	122403.745	LIGHT	0.19354892	.
WT	 64	4	182066.00	 78582.373	39291.186	125042.091	LIGHT	0.18394971	.
WT	 65	4	183151.75	 79150.042	39575.021	125945.379	LIGHT	0.17163327	.
WT	 66	4	183999.75	 79740.727	39870.364	126885.291	LIGHT	0.17944698	.
WT	 67	4	187568.00	 81540.991	40770.495	129749.912	LIGHT	0.17675793	.
WT	 68	4	190318.25	 83144.143	41572.071	132300.885	LIGHT	0.17843437	.
WT	 69	4	197357.25	 83426.070	41713.035	132749.494	DARK	0.17899092	.
WT	 70	4	202543.50	 82582.632	41291.316	131407.397	DARK	0.18072257	.
WT	 71	4	206259.75	 82396.859	41198.430	131111.790	DARK	0.17243487	.
WT	 72	4	210028.75	 83845.761	41922.880	133417.316	DARK	0.17945852	.
WT	 73	4	214117.50	 84986.274	42493.137	135232.127	DARK	0.17330396	.
WT	 74	4	218934.75	 87422.216	43711.108	139108.254	DARK	0.17478775	.
WT	 75	4	222263.75	 89106.575	44553.288	141788.446	DARK	0.18205229	.
WT	 76	4	224733.75	 88829.676	44414.838	141347.837	DARK	0.17805400	.
WT	 77	4	226549.25	 87600.579	43800.289	139392.069	DARK	0.17108327	.
WT	 78	4	228889.00	 88366.046	44183.023	140610.098	DARK	0.16342261	.
WT	 79	4	231815.00	 87627.456	43813.728	139434.836	DARK	0.15323816	.
WT	 80	4	235700.00	 86617.654	43308.827	137828.017	DARK	0.14781168	.
WT	 81	4	236786.25	 86745.824	43372.912	138031.964	DARK	0.14405117	.
WT	 82	4	238498.00	 85455.862	42727.931	135979.346	DARK	0.13368440	.
WT	 83	4	240292.25	 85967.647	42983.824	136793.711	DARK	0.12458568	.
WT	 84	4	241483.25	 85850.854	42925.427	136607.866	DARK	0.11446878	.
WT	 85	4	243376.50	 85808.784	42904.392	136540.923	DARK	0.10370552	.
WT	 86	4	247237.25	 85990.981	42995.491	136830.840	DARK	0.09778846	.
WT	 87	4	249264.50	 86993.358	43496.679	138425.846	LIGHT	0.09188898	.
WT	 88	4	251297.50	 87564.193	43782.097	139334.172	LIGHT	0.09217371	.
WT	 89	4	253908.50	 87536.230	43768.115	139289.676	LIGHT	0.09045984	.
WT	 90	4	255117.00	 87909.993	43954.997	139884.417	LIGHT	0.08101351	.
WT	 91	4	257285.50	 87993.964	43996.982	140018.033	LIGHT	0.08125125	.
WT	 92	4	257883.75	 88253.883	44126.942	140431.622	LIGHT	0.07379817	.
WT	 93	4	258248.75	 88294.825	44147.413	140496.770	LIGHT	0.06611906	.
WT	 94	4	261555.75	 91173.159	45586.579	145076.841	LIGHT	0.05864326	.
WT	 95	4	263859.50	 92457.778	46228.889	147120.957	LIGHT	0.05403994	.
