Genotype	TimePoint	N	Speed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 31	4	 2.75	 1.500	0.750	 2.387	LIGHT	4.772997e-01	.
112L2	 32	4	 2.50	 1.732	0.866	 2.756	DARK	8.628157e-01	.
112L2	 33	4	 3.00	 0.816	0.408	 1.299	DARK	4.201485e-01	.
112L2	 34	4	 3.00	 1.826	0.913	 2.905	DARK	6.151540e-01	.
112L2	 35	4	 2.50	 1.000	0.500	 1.591	DARK	4.876141e-01	.
112L2	 36	4	 2.75	 0.957	0.479	 1.523	DARK	4.207681e-01	.
112L2	 37	4	 3.25	 1.500	0.750	 2.387	DARK	7.000369e-01	.
112L2	 38	4	 3.75	 2.062	1.031	 3.280	DARK	5.413358e-01	.
112L2	 39	4	 3.00	 1.826	0.913	 2.905	DARK	3.874205e-01	.
112L2	 40	4	 3.00	 0.816	0.408	 1.299	DARK	3.874205e-01	.
112L2	 41	4	 4.25	 2.630	1.315	 4.185	DARK	2.183097e-01	.
112L2	 42	4	 5.25	 4.717	2.358	 7.506	DARK	2.301168e-01	.
112L2	 43	4	 4.00	 2.160	1.080	 3.437	DARK	1.083617e-01	.
112L2	 44	4	 4.50	 2.082	1.041	 3.312	DARK	1.536074e-02	*
112L2	 45	4	 3.00	 0.816	0.408	 1.299	DARK	6.395875e-01	.
112L2	 46	4	 3.25	 0.957	0.479	 1.523	DARK	9.457909e-02	.
112L2	 47	4	 3.00	 1.414	0.707	 2.250	DARK	8.059884e-02	.
112L2	 48	4	 2.75	 1.500	0.750	 2.387	DARK	3.532485e-01	.
112L2	 49	4	 4.00	 1.826	0.913	 2.905	DARK	1.324295e-01	.
112L2	 50	4	 2.25	 0.500	0.250	 0.796	LIGHT	5.483227e-01	.
112L2	 51	4	 2.25	 0.957	0.479	 1.523	LIGHT	4.121823e-01	.
112L2	 52	4	 3.75	 3.594	1.797	 5.719	LIGHT	2.079575e-01	.
112L2	 53	4	 4.25	 3.862	1.931	 6.146	LIGHT	1.073237e-01	.
112L2	 54	4	 2.75	 2.872	1.436	 4.570	LIGHT	5.628106e-01	.
112L2	 55	4	 3.50	 2.646	1.323	 4.210	LIGHT	1.003877e-01	.
112L2	 56	4	 3.25	 3.403	1.702	 5.416	LIGHT	1.851218e-01	.
112L2	 57	4	 3.25	 2.062	1.031	 3.280	LIGHT	6.028365e-02	.
112L2	 58	4	 2.75	 2.872	1.436	 4.570	LIGHT	2.847137e-01	.
112L2	 59	4	 2.00	 1.414	0.707	 2.250	LIGHT	1.206313e-01	.
112L2	 60	4	 2.00	 0.000	0.000	 0.000	LIGHT	4.552394e-05	****
112L2	 61	4	 2.00	 0.816	0.408	 1.299	LIGHT	1.052838e-01	.
112L2	 62	4	 1.75	 0.957	0.479	 1.523	LIGHT	3.765177e-01	.
112L2	 63	4	 1.25	 1.258	0.629	 2.002	LIGHT	2.324504e-01	.
112L2	 64	4	 2.25	 0.500	0.250	 0.796	LIGHT	8.129332e-02	.
112L2	 65	4	 2.00	 0.816	0.408	 1.299	LIGHT	5.217245e-01	.
112L2	 66	4	 1.50	 1.000	0.500	 1.591	LIGHT	5.320424e-01	.
112L2	 67	4	 1.75	 0.957	0.479	 1.523	LIGHT	3.025030e-01	.
112L2	 68	4	 2.25	 0.957	0.479	 1.523	LIGHT	2.243378e-01	.
112L2	 69	4	 2.00	 0.816	0.408	 1.299	DARK	3.878948e-02	*
112L2	 70	4	 1.25	 0.957	0.479	 1.523	DARK	2.570717e-01	.
112L2	 71	4	 2.00	 0.000	0.000	 0.000	DARK	7.250133e-01	.
112L2	 72	4	 1.75	 1.258	0.629	 2.002	DARK	5.850824e-01	.
112L2	 73	4	 2.75	 2.986	1.493	 4.752	DARK	8.180514e-01	.
112L2	 74	4	 2.00	 1.155	0.577	 1.837	DARK	6.210666e-01	.
112L2	 75	4	 1.50	 1.000	0.500	 1.591	DARK	3.438222e-01	.
112L2	 76	4	 2.00	 0.816	0.408	 1.299	DARK	4.629357e-01	.
112L2	 77	4	 2.25	 0.957	0.479	 1.523	DARK	4.845611e-01	.
112L2	 78	4	 3.00	 2.708	1.354	 4.309	DARK	4.826276e-01	.
112L2	 79	4	 2.75	 1.500	0.750	 2.387	DARK	4.199793e-01	.
112L2	 80	4	 4.00	 2.449	1.225	 3.898	DARK	6.410621e-01	.
112L2	 81	4	 2.50	 1.291	0.645	 2.054	DARK	1.943987e-01	.
112L2	 82	4	 3.25	 1.500	0.750	 2.387	DARK	4.566153e-01	.
112L2	 83	4	 3.00	 2.000	1.000	 3.182	DARK	4.696681e-01	.
112L2	 84	4	 2.75	 0.957	0.479	 1.523	DARK	3.191761e-01	.
112L2	 85	4	 2.75	 1.500	0.750	 2.387	DARK	4.693320e-01	.
112L2	 86	4	 3.00	 1.826	0.913	 2.905	DARK	5.132676e-01	.
112L2	 87	4	 3.00	 1.414	0.707	 2.250	LIGHT	3.992063e-01	.
112L2	 88	4	 2.50	 1.732	0.866	 2.756	LIGHT	1.982219e-01	.
112L2	 89	4	 2.75	 0.500	0.250	 0.796	LIGHT	4.552434e-01	.
112L2	 90	4	 3.50	 0.577	0.289	 0.919	LIGHT	2.687030e-01	.
112L2	 91	4	 2.25	 2.062	1.031	 3.280	LIGHT	6.362795e-01	.
112L2	 92	4	 2.00	 0.816	0.408	 1.299	LIGHT	8.877817e-03	**
112L2	 93	4	 2.25	 0.500	0.250	 0.796	LIGHT	3.754028e-01	.
112L2	 94	4	 2.25	 0.957	0.479	 1.523	LIGHT	1.848138e-01	.
112L2	 95	4	 2.75	 0.957	0.479	 1.523	LIGHT	2.740159e-01	.
112L2	 96	4	 3.50	 2.517	1.258	 4.004	LIGHT	1.566237e-01	.
112L2	 97	4	 2.50	 1.291	0.645	 2.054	LIGHT	3.227378e-01	.
112L2	 98	4	 2.75	 0.500	0.250	 0.796	LIGHT	1.040826e-01	.
112L2	 99	4	 2.00	 0.816	0.408	 1.299	LIGHT	8.719989e-01	.
112L2	100	4	 3.00	 1.414	0.707	 2.250	LIGHT	8.970659e-01	.
112L2	101	4	 2.00	 1.414	0.707	 2.250	LIGHT	9.619495e-01	.
112L2	102	4	 2.00	 0.816	0.408	 1.299	LIGHT	6.651710e-01	.
112L2	103	4	 2.75	 0.957	0.479	 1.523	LIGHT	4.146267e-01	.
112L2	104	4	 1.75	 1.500	0.750	 2.387	LIGHT	3.632198e-01	.
112L2	105	4	 2.25	 1.258	0.629	 2.002	DARK	3.205365e-01	.
112L2	106	4	 2.25	 0.957	0.479	 1.523	DARK	3.294374e-01	.
112L2	107	4	 2.50	 0.577	0.289	 0.919	DARK	5.526481e-01	.
112L2	108	4	 2.50	 1.000	0.500	 1.591	DARK	6.843981e-01	.
112L2	109	4	 1.75	 0.500	0.250	 0.796	DARK	4.169865e-01	.
112L2	110	4	 2.25	 1.258	0.629	 2.002	DARK	4.042028e-01	.
112L2	111	4	 2.75	 0.957	0.479	 1.523	DARK	6.405218e-01	.
WT	  1	4	 2.00	 0.816	0.408	 1.299	DARK	6.024293e-01	.
WT	  2	4	 3.25	 2.630	1.315	 4.185	DARK	8.445759e-01	.
WT	  3	4	 2.25	 0.957	0.479	 1.523	DARK	1.645487e-01	.
WT	  4	4	 2.25	 2.217	1.109	 3.528	DARK	8.668675e-01	.
WT	  5	4	 1.75	 0.500	0.250	 0.796	DARK	1.784467e-01	.
WT	  6	4	 1.25	 0.957	0.479	 1.523	DARK	1.682633e-01	.
WT	  7	4	 2.25	 1.258	0.629	 2.002	DARK	2.740159e-01	.
WT	  8	4	 1.50	 1.000	0.500	 1.591	DARK	7.059294e-01	.
WT	  9	4	 1.50	 1.291	0.645	 2.054	DARK	4.750028e-01	.
WT	 10	4	 1.00	 0.816	0.408	 1.299	DARK	3.325775e-02	*
WT	 11	4	 0.50	 0.577	0.289	 0.919	DARK	7.762015e-02	.
WT	 12	4	 2.00	 0.000	0.000	 0.000	DARK	5.391256e-02	.
WT	 13	4	 3.50	 1.732	0.866	 2.756	LIGHT	9.769492e-02	.
WT	 14	4	 2.25	 1.708	0.854	 2.718	LIGHT	4.621153e-01	.
WT	 15	4	 2.00	 0.816	0.408	 1.299	LIGHT	8.410550e-01	.
WT	 16	4	 1.25	 0.957	0.479	 1.523	LIGHT	6.432838e-01	.
WT	 17	4	 1.75	 1.708	0.854	 2.718	LIGHT	3.543903e-01	.
WT	 18	4	 2.00	 1.414	0.707	 2.250	LIGHT	5.072745e-01	.
WT	 19	4	 2.50	 1.291	0.645	 2.054	LIGHT	2.801427e-01	.
WT	 20	4	 2.75	 2.500	1.250	 3.978	LIGHT	5.483227e-01	.
WT	 21	4	 3.25	 4.573	2.287	 7.277	LIGHT	7.242044e-01	.
WT	 22	4	 1.25	 1.500	0.750	 2.387	LIGHT	4.140033e-01	.
WT	 23	4	 1.00	 1.155	0.577	 1.837	LIGHT	4.124005e-01	.
WT	 24	4	 2.25	 1.708	0.854	 2.718	LIGHT	8.111194e-01	.
WT	 25	4	 2.50	 2.082	1.041	 3.312	LIGHT	5.121185e-01	.
WT	 26	4	 4.00	 2.828	1.414	 4.501	LIGHT	1.405615e-01	.
WT	 27	4	 2.25	 1.258	0.629	 2.002	LIGHT	4.598949e-01	.
WT	 28	4	 1.50	 1.000	0.500	 1.591	LIGHT	1.000000e+00	.
WT	 29	4	 2.25	 1.708	0.854	 2.718	LIGHT	5.757166e-01	.
WT	 30	4	 2.25	 1.893	0.946	 3.012	LIGHT	4.543461e-01	.
WT	 31	4	 2.25	 1.258	0.629	 2.002	LIGHT	4.772997e-01	.
WT	 32	4	 3.00	 0.816	0.408	 1.299	DARK	8.628157e-01	.
WT	 33	4	 2.50	 0.577	0.289	 0.919	DARK	4.201485e-01	.
WT	 34	4	 2.75	 0.957	0.479	 1.523	DARK	6.151540e-01	.
WT	 35	4	 1.50	 0.577	0.289	 0.919	DARK	4.876141e-01	.
WT	 36	4	 2.00	 0.816	0.408	 1.299	DARK	4.207681e-01	.
WT	 37	4	 2.25	 0.957	0.479	 1.523	DARK	7.000369e-01	.
WT	 38	4	 2.75	 0.957	0.479	 1.523	DARK	5.413358e-01	.
WT	 39	4	 2.25	 0.500	0.250	 0.796	DARK	3.874205e-01	.
WT	 40	4	 1.75	 1.500	0.750	 2.387	DARK	3.874205e-01	.
WT	 41	4	 2.50	 1.291	0.645	 2.054	DARK	2.183097e-01	.
WT	 42	4	 1.75	 1.258	0.629	 2.002	DARK	2.301168e-01	.
WT	 43	4	 1.25	 1.258	0.629	 2.002	DARK	1.083617e-01	.
WT	 44	4	 1.00	 0.816	0.408	 1.299	DARK	1.536074e-02	*
WT	 45	4	 2.75	 2.217	1.109	 3.528	DARK	6.395875e-01	.
WT	 46	4	 1.75	 0.957	0.479	 1.523	DARK	9.457909e-02	.
WT	 47	4	 1.50	 0.577	0.289	 0.919	DARK	8.059884e-02	.
WT	 48	4	 1.75	 0.957	0.479	 1.523	DARK	3.532485e-01	.
WT	 49	4	 2.25	 0.957	0.479	 1.523	DARK	1.324295e-01	.
WT	 50	4	 1.75	 0.500	0.250	 0.796	LIGHT	5.483227e-01	.
WT	 51	4	 1.25	 1.258	0.629	 2.002	LIGHT	4.121823e-01	.
WT	 52	4	 2.00	 0.816	0.408	 1.299	LIGHT	2.079575e-01	.
WT	 53	4	 0.75	 0.957	0.479	 1.523	LIGHT	1.073237e-01	.
WT	 54	4	 1.75	 1.708	0.854	 2.718	LIGHT	5.628106e-01	.
WT	 55	4	 1.00	 0.816	0.408	 1.299	LIGHT	1.003877e-01	.
WT	 56	4	 1.00	 0.000	0.000	 0.000	LIGHT	1.851218e-01	.
WT	 57	4	 1.00	 0.816	0.408	 1.299	LIGHT	6.028365e-02	.
WT	 58	4	 1.00	 0.816	0.408	 1.299	LIGHT	2.847137e-01	.
WT	 59	4	 0.50	 0.577	0.289	 0.919	LIGHT	1.206313e-01	.
WT	 60	4	 1.00	 0.000	0.000	 0.000	LIGHT	4.552394e-05	****
WT	 61	4	 1.25	 1.500	0.750	 2.387	LIGHT	1.052838e-01	.
WT	 62	4	 1.25	 0.957	0.479	 1.523	LIGHT	3.765177e-01	.
WT	 63	4	 2.00	 1.414	0.707	 2.250	LIGHT	2.324504e-01	.
WT	 64	4	 1.25	 0.957	0.479	 1.523	LIGHT	8.129332e-02	.
WT	 65	4	 1.75	 0.957	0.479	 1.523	LIGHT	5.217245e-01	.
WT	 66	4	 1.00	 0.816	0.408	 1.299	LIGHT	5.320424e-01	.
WT	 67	4	 2.00	 1.414	0.707	 2.250	LIGHT	3.025030e-01	.
WT	 68	4	 2.00	 0.816	0.408	 1.299	LIGHT	2.243378e-01	.
WT	 69	4	 4.25	 1.893	0.946	 3.012	DARK	3.878948e-02	*
WT	 70	4	 3.00	 1.155	0.577	 1.837	DARK	2.570717e-01	.
WT	 71	4	 3.00	 2.708	1.354	 4.309	DARK	7.250133e-01	.
WT	 72	4	 2.50	 1.000	0.500	 1.591	DARK	5.850824e-01	.
WT	 73	4	 2.25	 1.258	0.629	 2.002	DARK	8.180514e-01	.
WT	 74	4	 2.50	 1.291	0.645	 2.054	DARK	6.210666e-01	.
WT	 75	4	 2.50	 2.517	1.258	 4.004	DARK	3.438222e-01	.
WT	 76	4	 1.50	 1.000	0.500	 1.591	DARK	4.629357e-01	.
WT	 77	4	 1.50	 1.000	0.500	 1.591	DARK	4.845611e-01	.
WT	 78	4	 1.50	 0.577	0.289	 0.919	DARK	4.826276e-01	.
WT	 79	4	 1.50	 1.000	0.500	 1.591	DARK	4.199793e-01	.
WT	 80	4	 2.50	 1.291	0.645	 2.054	DARK	6.410621e-01	.
WT	 81	4	 1.00	 0.816	0.408	 1.299	DARK	1.943987e-01	.
WT	 82	4	 1.25	 0.957	0.479	 1.523	DARK	4.566153e-01	.
WT	 83	4	 1.25	 1.500	0.750	 2.387	DARK	4.696681e-01	.
WT	 84	4	 1.00	 0.816	0.408	 1.299	DARK	3.191761e-01	.
WT	 85	4	 1.50	 0.577	0.289	 0.919	DARK	4.693320e-01	.
WT	 86	4	 2.00	 0.000	0.000	 0.000	DARK	5.132676e-01	.
WT	 87	4	 1.25	 1.258	0.629	 2.002	LIGHT	3.992063e-01	.
WT	 88	4	 1.50	 1.291	0.645	 2.054	LIGHT	1.982219e-01	.
WT	 89	4	 1.75	 0.500	0.250	 0.796	LIGHT	4.552434e-01	.
WT	 90	4	 1.00	 0.816	0.408	 1.299	LIGHT	2.687030e-01	.
WT	 91	4	 1.50	 0.577	0.289	 0.919	LIGHT	6.362795e-01	.
WT	 92	4	 0.75	 0.500	0.250	 0.796	LIGHT	8.877817e-03	**
WT	 93	4	 0.75	 0.500	0.250	 0.796	LIGHT	3.754028e-01	.
WT	 94	4	 1.75	 1.500	0.750	 2.387	LIGHT	1.848138e-01	.
WT	 95	4	 2.00	 1.414	0.707	 2.250	LIGHT	2.740159e-01	.
WT	 96	4	 2.00	 1.826	0.913	 2.905	LIGHT	1.566237e-01	.
WT	 97	4	 1.75	 1.258	0.629	 2.002	LIGHT	3.227378e-01	.
WT	 98	4	 1.50	 1.915	0.957	 3.047	LIGHT	1.040826e-01	.
WT	 99	4	 1.75	 1.500	0.750	 2.387	LIGHT	8.719989e-01	.
WT	100	4	 2.25	 2.062	1.031	 3.280	LIGHT	8.970659e-01	.
WT	101	4	 2.25	 1.893	0.946	 3.012	LIGHT	9.619495e-01	.
WT	102	4	 2.50	 2.082	1.041	 3.312	LIGHT	6.651710e-01	.
WT	103	4	 1.50	 1.291	0.645	 2.054	LIGHT	4.146267e-01	.
WT	104	4	 1.50	 0.577	0.289	 0.919	LIGHT	3.632198e-01	.
