Genotype	TimePoint	N	YT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 21	4	6286.50	2709.717	1354.858	 4311.764	LIGHT	0.0233398374	*
112L2	 22	4	7739.75	6464.410	3232.205	10286.319	LIGHT	0.0731035398	.
112L2	 23	4	6923.00	5998.897	2999.448	 9545.583	LIGHT	0.2130173673	.
112L2	 24	4	4038.75	2935.092	1467.546	 4670.386	LIGHT	0.3543975835	.
112L2	 25	4	5302.50	4692.446	2346.223	 7466.728	LIGHT	0.2111184771	.
112L2	 26	4	4277.00	2973.887	1486.943	 4732.118	LIGHT	0.2141463956	.
112L2	 27	4	2914.75	2230.597	1115.298	 3549.377	LIGHT	0.2462745475	.
112L2	 28	4	2903.25	1652.346	 826.173	 2629.251	LIGHT	0.6088036388	.
112L2	 29	4	4112.25	2475.187	1237.593	 3938.574	LIGHT	0.1423091736	.
112L2	 30	4	3583.75	2328.557	1164.279	 3705.254	LIGHT	0.4232193909	.
112L2	 31	4	5292.75	4153.774	2076.887	 6609.582	LIGHT	0.2281178383	.
112L2	 32	4	5698.75	3658.910	1829.455	 5822.143	DARK	0.2791550539	.
112L2	 33	4	5582.00	 744.121	 372.061	 1184.063	DARK	0.0393331156	*
112L2	 34	4	5339.75	8076.404	4038.202	12851.361	DARK	0.6774554180	.
112L2	 35	4	2324.00	1842.169	 921.085	 2931.302	DARK	0.6650888481	.
112L2	 36	4	3832.25	2029.740	1014.870	 3229.769	DARK	0.7246833502	.
112L2	 37	4	4292.75	1989.263	 994.632	 3165.362	DARK	0.4441348661	.
112L2	 38	4	3045.50	 577.068	 288.534	  918.243	DARK	0.4508709940	.
112L2	 39	4	4537.50	2055.098	1027.549	 3270.120	DARK	0.2787740451	.
112L2	 40	4	4043.75	1360.737	 680.368	 2165.236	DARK	0.6337328050	.
112L2	 41	4	4200.75	3105.366	1552.683	 4941.329	DARK	0.6820682100	.
112L2	 42	4	5043.25	3492.741	1746.371	 5557.731	DARK	0.1592060203	.
112L2	 43	4	7634.25	3661.146	1830.573	 5825.701	DARK	0.0694317082	.
112L2	 44	4	4719.50	2244.357	1122.179	 3571.274	DARK	0.0848631819	.
112L2	 45	4	4689.75	 639.608	 319.804	 1017.759	DARK	0.4380038442	.
112L2	 46	4	4747.50	1054.365	 527.183	 1677.730	DARK	0.2096183039	.
112L2	 47	4	4593.25	1585.724	 792.862	 2523.241	DARK	0.0106315682	*
112L2	 48	4	3605.75	1228.420	 614.210	 1954.691	DARK	0.6094948574	.
112L2	 49	4	4868.00	 872.574	 436.287	 1388.459	DARK	0.1473199732	.
112L2	 50	4	4591.25	1768.600	 884.300	 2814.238	LIGHT	0.4496558294	.
112L2	 51	4	3001.00	2985.402	1492.701	 4750.441	LIGHT	0.6548331538	.
112L2	 52	4	2615.75	1844.951	 922.476	 2935.729	LIGHT	0.0730836224	.
112L2	 53	4	3798.75	1589.588	 794.794	 2529.390	LIGHT	0.1031932258	.
112L2	 54	4	2628.75	1597.315	 798.658	 2541.685	LIGHT	0.4107825025	.
112L2	 55	4	6089.50	6465.158	3232.579	10287.508	LIGHT	0.2360495466	.
112L2	 56	4	3237.00	2429.394	1214.697	 3865.708	LIGHT	0.0809052913	.
112L2	 57	4	4683.25	3523.298	1761.649	 5606.353	LIGHT	0.1628957686	.
112L2	 58	4	3546.50	3192.337	1596.168	 5079.720	LIGHT	0.1560231527	.
112L2	 59	4	4232.50	2701.584	1350.792	 4298.823	LIGHT	0.0129664668	*
112L2	 60	4	3072.75	1354.248	 677.124	 2154.911	LIGHT	0.0064844009	**
112L2	 61	4	2973.00	2325.697	1162.849	 3700.704	LIGHT	0.0793279029	.
112L2	 62	4	4019.50	3592.309	1796.154	 5716.165	LIGHT	0.2314081595	.
112L2	 63	4	3024.25	3023.160	1511.580	 4810.522	LIGHT	0.3244449832	.
112L2	 64	4	5487.75	1726.914	 863.457	 2747.905	LIGHT	0.0039759319	***
112L2	 65	4	5096.00	1174.829	 587.415	 1869.415	LIGHT	0.0018076627	***
112L2	 66	4	4077.00	5386.083	2693.042	 8570.460	LIGHT	0.4805850146	.
112L2	 67	4	4346.00	3182.311	1591.155	 5063.767	LIGHT	0.0709886846	.
112L2	 68	4	2793.25	1830.810	 915.405	 2913.228	LIGHT	0.2137825318	.
112L2	 69	4	3340.50	1215.700	 607.850	 1934.450	DARK	0.0285927329	*
112L2	 70	4	2611.00	1466.388	 733.194	 2333.351	DARK	0.4979049641	.
112L2	 71	4	4085.50	1497.909	 748.955	 2383.508	DARK	0.2965683704	.
112L2	 72	4	2007.00	1779.583	 889.792	 2831.714	DARK	0.2958477182	.
112L2	 73	4	4063.25	2409.576	1204.788	 3834.172	DARK	0.2113065079	.
112L2	 74	4	3833.50	2591.041	1295.521	 4122.924	DARK	0.3122580620	.
112L2	 75	4	3743.00	1543.577	 771.789	 2456.175	DARK	0.6384140313	.
112L2	 76	4	5589.75	2542.065	1271.032	 4044.993	DARK	0.1240136256	.
112L2	 77	4	4811.00	1344.558	 672.279	 2139.492	DARK	0.0220264483	*
112L2	 78	4	5789.25	3358.196	1679.098	 5343.640	DARK	0.1373565727	.
112L2	 79	4	4684.25	4684.869	2342.434	 7454.672	DARK	0.5602253450	.
112L2	 80	4	3784.00	2086.403	1043.201	 3319.932	DARK	0.6074261436	.
112L2	 81	4	3750.25	2293.027	1146.514	 3648.718	DARK	0.2206311708	.
112L2	 82	4	5325.75	1446.209	 723.104	 2301.241	DARK	0.0080234836	**
112L2	 83	4	3644.25	1006.490	 503.245	 1601.551	DARK	0.0906314011	.
112L2	 84	4	5556.00	2280.224	1140.112	 3628.346	DARK	0.0171664131	*
112L2	 85	4	6510.25	3287.039	1643.519	 5230.412	DARK	0.0289885739	*
112L2	 86	4	4391.75	2249.303	1124.651	 3579.142	DARK	0.2399049376	.
112L2	 87	4	5924.75	1909.531	 954.766	 3038.490	LIGHT	0.1099554741	.
112L2	 88	4	2183.25	 697.701	 348.850	 1110.197	LIGHT	0.8247620639	.
112L2	 89	4	3576.25	 869.219	 434.610	 1383.122	LIGHT	0.2603425921	.
112L2	 90	4	6744.75	2037.733	1018.866	 3242.488	LIGHT	0.0003554111	****
112L2	 91	4	3942.50	3013.063	1506.531	 4794.455	LIGHT	0.6857143019	.
112L2	 92	4	4410.50	1925.861	 962.930	 3064.474	LIGHT	0.0016179895	***
112L2	 93	4	3813.50	1482.591	 741.295	 2359.133	LIGHT	0.0006759950	****
112L2	 94	4	6027.00	3152.875	1576.437	 5016.928	LIGHT	0.0476303820	*
112L2	 95	4	6188.50	3599.465	1799.732	 5727.551	LIGHT	0.0713811933	.
112L2	 96	4	7093.50	3415.887	1707.944	 5435.439	LIGHT	0.0344514375	*
112L2	 97	4	7350.00	5371.801	2685.900	 8547.734	LIGHT	0.0882446252	.
112L2	 98	4	6512.75	3609.657	1804.829	 5743.770	LIGHT	0.0363185680	*
112L2	 99	4	7675.25	6165.464	3082.732	 9810.629	LIGHT	0.1231273112	.
112L2	100	4	7517.50	5037.897	2518.948	 8016.418	LIGHT	0.0618867074	.
112L2	101	4	4142.50	2520.396	1260.198	 4010.513	LIGHT	0.0788047579	.
112L2	102	4	3519.50	2219.296	1109.648	 3531.396	LIGHT	0.4641692656	.
112L2	103	4	3713.00	2621.897	1310.948	 4172.023	LIGHT	0.8499840864	.
112L2	104	4	3500.00	3343.424	1671.712	 5320.134	LIGHT	0.4800902023	.
112L2	105	4	6401.75	3177.898	1588.949	 5056.744	DARK	0.1571442790	.
112L2	106	4	5776.50	3792.982	1896.491	 6035.481	DARK	0.1907124671	.
112L2	107	4	5898.25	4109.695	2054.847	 6539.442	DARK	0.1052077836	.
112L2	108	4	4797.25	2481.107	1240.553	 3947.994	DARK	0.0520240970	.
112L2	109	4	3632.00	1464.762	 732.381	 2330.763	DARK	0.0731422054	.
112L2	110	4	3058.75	 476.114	 238.057	  757.603	DARK	0.4503797208	.
112L2	111	4	6179.75	3660.884	1830.442	 5825.283	DARK	0.0469715227	*
WT	  1	4	2778.00	1020.727	 510.363	 1624.204	DARK	0.5798212195	.
WT	  2	4	4762.00	3050.081	1525.040	 4853.359	DARK	0.6059092810	.
WT	  3	4	4296.00	2372.345	1186.173	 3774.930	DARK	0.6411620096	.
WT	  4	4	3750.50	3688.025	1844.012	 5868.471	DARK	0.8197908796	.
WT	  5	4	2702.00	1454.038	 727.019	 2313.699	DARK	0.0827874657	.
WT	  6	4	2674.50	2258.777	1129.389	 3594.218	DARK	0.2729345235	.
WT	  7	4	4213.25	3316.429	1658.214	 5277.178	DARK	0.6797084713	.
WT	  8	4	2401.75	1867.837	 933.918	 2972.145	DARK	0.8200910786	.
WT	  9	4	1764.75	1701.456	 850.728	 2707.395	DARK	0.7227156249	.
WT	 10	4	1941.00	1416.970	 708.485	 2254.716	DARK	0.3075551631	.
WT	 11	4	1028.50	 838.707	 419.354	 1334.570	DARK	0.0714274889	.
WT	 12	4	4449.25	3191.231	1595.615	 5077.961	DARK	0.0971285994	.
WT	 13	4	4297.75	2602.681	1301.341	 4141.447	LIGHT	0.3559975529	.
WT	 14	4	2980.50	2435.347	1217.673	 3875.180	LIGHT	0.5383659270	.
WT	 15	4	2358.75	2023.785	1011.893	 3220.294	LIGHT	0.9894961068	.
WT	 16	4	1500.00	1060.196	 530.098	 1687.008	LIGHT	0.5601989322	.
WT	 17	4	3063.75	3299.656	1649.828	 5250.490	LIGHT	0.2544236841	.
WT	 18	4	2129.50	2226.100	1113.050	 3542.222	LIGHT	0.4955811832	.
WT	 19	4	2342.75	2029.063	1014.532	 3228.692	LIGHT	0.2076161524	.
WT	 20	4	2540.50	2895.296	1447.648	 4607.062	LIGHT	0.0859551052	.
WT	 21	4	2050.75	2016.856	1008.428	 3209.268	LIGHT	0.0233398374	*
WT	 22	4	1570.25	1909.233	 954.616	 3038.015	LIGHT	0.0731035398	.
WT	 23	4	1052.75	1190.393	 595.196	 1894.181	LIGHT	0.2130173673	.
WT	 24	4	2889.25	2734.757	1367.378	 4351.608	LIGHT	0.3543975835	.
WT	 25	4	3677.50	3612.750	1806.375	 5748.691	LIGHT	0.2111184771	.
WT	 26	4	4204.75	4153.121	2076.561	 6608.543	LIGHT	0.2141463956	.
WT	 27	4	3020.50	2911.011	1455.506	 4632.069	LIGHT	0.2462745475	.
WT	 28	4	2641.25	3107.095	1553.548	 4944.082	LIGHT	0.6088036388	.
WT	 29	4	6636.00	6246.807	3123.404	 9940.064	LIGHT	0.1423091736	.
WT	 30	4	4087.75	3281.706	1640.853	 5221.927	LIGHT	0.4232193909	.
WT	 31	4	2912.25	1745.150	 872.575	 2776.923	LIGHT	0.2281178383	.
WT	 32	4	5624.50	4243.892	2121.946	 6752.979	DARK	0.2791550539	.
WT	 33	4	5297.75	1573.270	 786.635	 2503.424	DARK	0.0393331156	*
WT	 34	4	4336.25	2971.339	1485.669	 4728.063	DARK	0.6774554180	.
WT	 35	4	2556.00	1518.596	 759.298	 2416.425	DARK	0.6650888481	.
WT	 36	4	3852.75	2479.041	1239.520	 3944.707	DARK	0.7246833502	.
WT	 37	4	4483.75	3967.304	1983.652	 6312.867	DARK	0.4441348661	.
WT	 38	4	4960.50	3043.306	1521.653	 4842.579	DARK	0.4508709940	.
WT	 39	4	2515.00	1865.155	 932.578	 2967.878	DARK	0.2787740451	.
WT	 40	4	3173.00	3876.186	1938.093	 6167.877	DARK	0.6337328050	.
WT	 41	4	3212.50	2017.791	1008.895	 3210.756	DARK	0.6820682100	.
WT	 42	4	1565.25	1392.138	 696.069	 2215.202	DARK	0.1592060203	.
WT	 43	4	2159.50	1779.193	 889.597	 2831.094	DARK	0.0694317082	.
WT	 44	4	1721.00	1058.755	 529.377	 1684.715	DARK	0.0848631819	.
WT	 45	4	3256.75	2215.892	1107.946	 3525.978	DARK	0.4380038442	.
WT	 46	4	2787.75	2708.179	1354.090	 4309.318	DARK	0.2096183039	.
WT	 47	4	1602.75	 826.777	 413.389	 1315.587	DARK	0.0106315682	*
WT	 48	4	2475.50	1990.166	 995.083	 3166.798	DARK	0.6094948574	.
WT	 49	4	3771.50	2213.255	1106.628	 3521.783	DARK	0.1473199732	.
WT	 50	4	2981.00	 211.674	 105.837	  336.821	LIGHT	0.4496558294	.
WT	 51	4	1771.75	2511.066	1255.533	 3995.667	LIGHT	0.6548331538	.
WT	 52	4	2795.50	1714.398	 857.199	 2727.990	LIGHT	0.0730836224	.
WT	 53	4	1511.00	2186.220	1093.110	 3478.764	LIGHT	0.1031932258	.
WT	 54	4	2940.00	4289.435	2144.718	 6825.448	LIGHT	0.4107825025	.
WT	 55	4	1727.25	1795.648	 897.824	 2857.277	LIGHT	0.2360495466	.
WT	 56	4	 874.00	 863.475	 431.737	 1373.981	LIGHT	0.0809052913	.
WT	 57	4	1717.75	2440.653	1220.326	 3883.623	LIGHT	0.1628957686	.
WT	 58	4	1453.25	1322.705	 661.352	 2104.718	LIGHT	0.1560231527	.
WT	 59	4	 384.00	 529.788	 264.894	  843.011	LIGHT	0.0129664668	*
WT	 60	4	1033.50	1024.425	 512.213	 1630.089	LIGHT	0.0064844009	**
WT	 61	4	1356.50	1456.930	 728.465	 2318.300	LIGHT	0.0793279029	.
WT	 62	4	2346.75	1707.005	 853.503	 2716.226	LIGHT	0.2314081595	.
WT	 63	4	3415.50	4065.503	2032.751	 6469.122	LIGHT	0.3244449832	.
WT	 64	4	2299.75	2009.253	1004.627	 3197.170	LIGHT	0.0039759319	***
WT	 65	4	1446.50	1514.207	 757.104	 2409.441	LIGHT	0.0018076627	***
WT	 66	4	1297.00	 904.425	 452.213	 1439.142	LIGHT	0.4805850146	.
WT	 67	4	3379.75	1960.219	 980.110	 3119.147	LIGHT	0.0709886846	.
WT	 68	4	3112.25	2345.111	1172.555	 3731.594	LIGHT	0.2137825318	.
WT	 69	4	5875.00	1361.682	 680.841	 2166.740	DARK	0.0285927329	*
WT	 70	4	4068.25	 863.003	 431.502	 1373.231	DARK	0.4979049641	.
WT	 71	4	3011.50	1799.014	 899.507	 2862.632	DARK	0.2965683704	.
WT	 72	4	3930.25	2553.244	1276.622	 4062.781	DARK	0.2958477182	.
WT	 73	4	3894.25	1821.830	 910.915	 2898.938	DARK	0.2113065079	.
WT	 74	4	4268.25	2009.124	1004.562	 3196.965	DARK	0.3122580620	.
WT	 75	4	3078.50	1825.731	 912.865	 2905.145	DARK	0.6384140313	.
WT	 76	4	2525.00	1965.114	 982.557	 3126.934	DARK	0.1240136256	.
WT	 77	4	1685.75	1186.818	 593.409	 1888.492	DARK	0.0220264483	*
WT	 78	4	2762.75	1370.100	 685.050	 2180.135	DARK	0.1373565727	.
WT	 79	4	2494.00	 935.069	 467.534	 1487.903	DARK	0.5602253450	.
WT	 80	4	3149.50	1380.634	 690.317	 2196.897	DARK	0.6074261436	.
WT	 81	4	1324.50	1146.803	 573.402	 1824.820	DARK	0.2206311708	.
WT	 82	4	1579.25	1024.799	 512.399	 1630.683	DARK	0.0080234836	**
WT	 83	4	1692.75	1646.002	 823.001	 2619.157	DARK	0.0906314011	.
WT	 84	4	1324.25	 974.093	 487.047	 1550.000	DARK	0.0171664131	*
WT	 85	4	1983.00	1106.002	 553.001	 1759.896	DARK	0.0289885739	*
WT	 86	4	3486.50	 319.984	 159.992	  509.166	DARK	0.2399049376	.
WT	 87	4	2118.25	2455.048	1227.524	 3906.528	LIGHT	0.1099554741	.
WT	 88	4	2206.00	2098.753	1049.377	 3339.585	LIGHT	0.8247620639	.
WT	 89	4	2489.25	1204.202	 602.101	 1916.154	LIGHT	0.2603425921	.
WT	 90	4	1446.00	1144.187	 572.094	 1820.657	LIGHT	0.0003554111	****
WT	 91	4	2320.50	1113.802	 556.901	 1772.308	LIGHT	0.6857143019	.
WT	 92	4	 778.75	 615.384	 307.692	  979.213	LIGHT	0.0016179895	***
WT	 93	4	 520.75	 548.433	 274.216	  872.679	LIGHT	0.0006759950	****
WT	 94	4	3529.50	2909.729	1454.864	 4630.028	LIGHT	0.0476303820	*
WT	 95	4	2641.00	2657.249	1328.625	 4228.276	LIGHT	0.0713811933	.
WT	 96	4	2525.75	3607.344	1803.672	 5740.089	LIGHT	0.0344514375	*
