Genotype	TimePoint	N	XA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 62	4	 663.50	  905.505	 452.752	 1440.860	LIGHT	0.281103383	.
WT	 63	4	 622.00	  959.808	 479.904	 1527.269	LIGHT	0.501201512	.
WT	 64	4	 489.25	  494.486	 247.243	  786.837	LIGHT	0.767156778	.
WT	 65	4	 531.00	  416.438	 208.219	  662.646	LIGHT	0.580503118	.
WT	 66	4	 208.00	  120.891	  60.446	  192.365	LIGHT	0.102780707	.
WT	 67	4	2423.75	 2371.618	1185.809	 3773.773	LIGHT	0.151762217	.
WT	 68	4	 915.25	  893.709	 446.854	 1422.090	LIGHT	0.229974273	.
WT	 69	4	5530.00	 1741.302	 870.651	 2770.800	DARK	0.007023448	**
WT	 70	4	4557.25	 1408.113	 704.057	 2240.622	DARK	0.006921235	**
WT	 71	4	2748.50	 1817.872	 908.936	 2892.640	DARK	0.695978581	.
WT	 72	4	1678.50	 1599.080	 799.540	 2544.493	DARK	0.043429515	*
WT	 73	4	2865.75	 1522.890	 761.445	 2423.258	DARK	0.159401324	.
WT	 74	4	3778.75	 3113.957	1556.979	 4955.000	DARK	0.235530853	.
WT	 75	4	2428.00	 2243.914	1121.957	 3570.567	DARK	0.031748603	*
WT	 76	4	1407.25	 2007.969	1003.985	 3195.127	DARK	0.541075435	.
WT	 77	4	1580.00	 1499.218	 749.609	 2385.590	DARK	0.910994525	.
WT	 78	4	1354.75	 1141.856	 570.928	 1816.948	DARK	0.012806936	*
WT	 79	4	2067.25	 1323.076	 661.538	 2105.308	DARK	0.504351343	.
WT	 80	4	3086.25	 2232.850	1116.425	 3552.963	DARK	0.500553622	.
WT	 81	4	 454.25	  512.216	 256.108	  815.049	DARK	0.155332962	.
WT	 82	4	1460.50	 1960.578	 980.289	 3119.717	DARK	0.567839456	.
WT	 83	4	1071.00	 1236.620	 618.310	 1967.738	DARK	0.794474522	.
WT	 84	4	 549.25	  596.348	 298.174	  948.923	DARK	0.069753834	.
WT	 85	4	1273.25	  939.378	 469.689	 1494.760	DARK	0.636353400	.
WT	 86	4	3215.75	  672.672	 336.336	 1070.372	DARK	0.901679916	.
WT	 87	4	2228.75	 2244.101	1122.050	 3570.865	LIGHT	0.292166893	.
WT	 88	4	1656.00	  877.511	 438.756	 1396.316	LIGHT	0.320264655	.
WT	 89	4	1614.25	 1833.015	 916.508	 2916.737	LIGHT	0.984283939	.
WT	 90	4	 276.75	  224.856	 112.428	  357.796	LIGHT	0.044854378	*
WT	 91	4	1423.50	 1291.780	 645.890	 2055.510	LIGHT	0.592750048	.
WT	 92	4	 410.50	  502.453	 251.226	  799.515	LIGHT	0.117996273	.
WT	 93	4	 270.50	  343.221	 171.610	  546.140	LIGHT	0.354540280	.
WT	 94	4	1785.50	 1418.021	 709.010	 2256.388	LIGHT	0.227787315	.
WT	 95	4	 603.00	 1144.804	 572.402	 1821.639	LIGHT	0.418521916	.
WT	 96	4	  45.50	   45.909	  22.955	   73.052	LIGHT	0.492062983	.
WT	 97	4	 384.25	  666.122	 333.061	 1059.948	LIGHT	0.514845919	.
WT	 98	4	  99.50	  170.126	  85.063	  270.709	LIGHT	0.726055384	.
WT	 99	4	 432.50	  575.885	 287.943	  916.362	LIGHT	0.507418034	.
WT	100	4	  84.25	   44.932	  22.466	   71.497	LIGHT	0.337878247	.
