Genotype	TimePoint	N	TareFeed	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 37	4	 3.447	0.958	0.479	1.525	DARK	0.34735352	.
112L2	 38	4	 3.635	0.986	0.493	1.569	DARK	0.34715508	.
112L2	 39	4	 3.805	0.837	0.419	1.332	DARK	0.25015729	.
112L2	 40	4	 3.950	1.053	0.526	1.675	DARK	0.27271925	.
112L2	 41	4	 4.065	1.139	0.569	1.812	DARK	0.33911665	.
112L2	 42	4	 4.372	1.000	0.500	1.592	DARK	0.20503265	.
112L2	 43	4	 4.718	1.228	0.614	1.953	DARK	0.16451811	.
112L2	 44	4	 4.968	1.366	0.683	2.174	DARK	0.20724675	.
112L2	 45	4	 5.058	1.369	0.684	2.178	DARK	0.23775688	.
112L2	 46	4	 5.245	1.516	0.758	2.413	DARK	0.27809997	.
112L2	 47	4	 5.295	1.542	0.771	2.454	DARK	0.28931520	.
112L2	 48	4	 5.550	1.671	0.835	2.659	DARK	0.25273143	.
112L2	 49	4	 5.757	1.662	0.831	2.644	DARK	0.18975978	.
112L2	 50	4	 5.895	1.578	0.789	2.512	LIGHT	0.25920432	.
112L2	 51	4	 5.970	1.516	0.758	2.412	LIGHT	0.25227659	.
112L2	 52	4	 6.120	1.396	0.698	2.221	LIGHT	0.20349500	.
112L2	 53	4	 6.225	1.349	0.674	2.146	LIGHT	0.17850857	.
112L2	 54	4	 6.455	1.313	0.656	2.089	LIGHT	0.15110555	.
112L2	 55	4	 6.600	1.290	0.645	2.053	LIGHT	0.11974881	.
112L2	 56	4	 6.633	1.253	0.626	1.993	LIGHT	0.11096967	.
112L2	 57	4	 6.633	1.253	0.626	1.993	LIGHT	0.10906841	.
112L2	 58	4	 6.693	1.288	0.644	2.049	LIGHT	0.11890334	.
112L2	 59	4	 6.852	1.413	0.706	2.248	LIGHT	0.10075425	.
112L2	 60	4	 6.885	1.385	0.692	2.203	LIGHT	0.09388549	.
112L2	 61	4	 6.888	1.383	0.691	2.200	LIGHT	0.09870110	.
112L2	 62	4	 6.890	1.385	0.693	2.204	LIGHT	0.09368840	.
112L2	 63	4	 6.890	1.385	0.693	2.204	LIGHT	0.09745590	.
112L2	 64	4	 6.925	1.422	0.711	2.263	LIGHT	0.10095566	.
112L2	 65	4	 7.002	1.347	0.673	2.143	LIGHT	0.09177105	.
112L2	 66	4	 7.002	1.347	0.673	2.143	LIGHT	0.08795021	.
112L2	 67	4	 7.002	1.347	0.673	2.143	LIGHT	0.10339764	.
112L2	 68	4	 7.002	1.347	0.673	2.143	LIGHT	0.12091502	.
